G,g,era,R
2,TX,2014,0.309405879557589
3,TX,2014,0.520768207352257
4,TX,2014,0.858484149050962
1,VA,2014,0.0962426441806931
2,VA,2014,0.487146435131465
3,VA,2014,0.819927456143369
4,VA,2014,1.35164688345622
1,AR,2019,0.0592036990415841
2,AR,2019,0.299668314188831
3,AR,2019,0.504378685380941
4,AR,2019,0.831466092602328
1,CO,2019,0.116448108737322
2,CO,2019,0.589419394407781
3,CO,2019,0.992065444403621
4,CO,2019,1.63541561642533
1,ID,2019,0.125631649308279
2,ID,2019,0.635903248723208
3,ID,2019,1.07030349701362
4,ID,2019,1.76439070950905
1,KS,2019,0.0953094713289648
2,KS,2019,0.482423042170363
3,KS,2019,0.811977403970829
4,KS,2019,1.33854125665739
1,KY,2019,0.109421746040742
2,KY,2019,0.553854416234972
3,KY,2019,0.932205205309075
4,KY,2019,1.53673626984551
1,LA,2019,0.069793730552238
2,LA,2019,0.353271331253276
3,LA,2019,0.594599165823128
4,LA,2019,0.980194166409241
1,MA,2019,0.146021579682576
2,MA,2019,0.739109909128016
3,MA,2019,1.24401301928474
4,MA,2019,2.05075010953306
1,MD,2019,0.116008113899771
2,MD,2019,0.587192295200211
3,MD,2019,0.988316962107227
4,MD,2019,1.62923625948875
1,ME,2019,0.130493828328293
2,ME,2019,0.660513889845283
3,ME,2019,1.11172623751635
4,ME,2019,1.83267591899341
1,MN,2019,0.0986416440706679
2,MN,2019,0.499289329315543
3,MN,2019,0.840365442794922
4,MN,2019,1.38533881651043
1,MO,2019,0.101241253583358
2,MO,2019,0.512447638894642
3,MO,2019,0.862512498633329
4,MO,2019,1.42184814276536
1,NC,2019,0.0589658063672143
2,NC,2019,0.298464185091489
3,NC,2019,0.502351987787669
4,NC,2019,0.828125090340323
1,OH,2019,0.074044577181137
2,OH,2019,0.374787622697543
3,OH,2019,0.630813734661709
4,OH,2019,1.03989372731505
1,OK,2019,0.0937522033421319
2,OK,2019,0.474540699007537
3,OK,2019,0.798710449495013
4,OK,2019,1.31667073928926
1,SD,2019,0.10524887703622
2,SD,2019,0.532732820115825
3,SD,2019,0.896654957320529
4,SD,2019,1.47813183900253
1,TN,2019,0.0850034794071073
2,TN,2019,0.430257733663246
3,TN,2019,0.724176764124964
4,TN,2019,1.19380227966139
1,TX,2019,0.0657629574921384
2,TX,2019,0.332868974857447
3,TX,2019,0.560259486883574
4,TX,2019,0.923585353434671
1,VA,2019,0.100524377259248
2,VA,2019,0.508819062927167
3,VA,2019,0.856405158318642
4,VA,2019,1.41178021853535
