mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1985,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1985,Control States,301,3811999,0.0000789611959499465
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1986,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1986,Control States,280,3811999,0.0000734522753022758
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1987,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1987,Control States,510,3811999,0.000133788072872002
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1988,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1988,Control States,418,3811999,0.000109653753844112
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1989,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1989,Control States,374,3811999,0.0000981112534394684
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1990,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1990,Control States,31,3811999,0.00000813221619418053
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1991,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1992,Texas,29,912746,0.0000317722564656542
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1992,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1993,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1993,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1994,Control States,41,3811999,0.0000107555117406904
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1995,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1995,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1996,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1996,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1997,Control States,16,3811999,0.00000419727287441576
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1985,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1985,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1986,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1986,Control States,27,3811999,0.00000708289797557659
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1987,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1987,Control States,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1988,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1988,Control States,0,,0
