make_model_fac,fac_wall,fac_fuel,fac_oldest_age_bin,closure_TX,closure_CTL,closure_diff,lust_TX,lust_CTL,lust_diff,replace_TX,replace_CTL,replace_diff,n_fy_tx,n_fy_ctl,n_years,n_tx,n_ctl,w,age_ord
All-SW_Mixed-Or-Other_0-2yr,All-SW,Mixed-Or-Other,0-2yr,7.95180752574005,8.55900828819546,-0.607200762455409,1.20742995825198,2.93403538154686,-1.72660542329488,5.51132377092157,5.13178459367118,0.379539177250385,4260,9582,9,688,1468,13842,0-2yr
All-SW_Mixed-Or-Other_3-5yr,All-SW,Mixed-Or-Other,3-5yr,8.55500571008261,8.60265564043,-0.047649930347388,1.1597935900164,3.76666571934154,-2.60687212932514,5.38890124484006,5.37511187285916,0.0137893719809013,5456,11939,9,773,1693,17395,3-5yr
All-SW_Mixed-Or-Other_6-8yr,All-SW,Mixed-Or-Other,6-8yr,6.6303895353234,6.76102436215918,-0.13063482683578,1.01386205926622,2.65991939237557,-1.64605733310935,3.18650794214856,3.28030950329063,-0.0938015611420701,7845,22141,9,904,2567,29986,6-8yr
All-SW_Mixed-Or-Other_9-11yr,All-SW,Mixed-Or-Other,9-11yr,0.89171974522293,1.32075471698113,-0.429034971758202,0.962491153573956,1.41509433962264,-0.452603186048686,0.240622788393489,0.363382250174703,-0.122759461781214,14130,28620,9,1570,3180,42750,9-11yr
All-SW_Mixed-Or-Other_12-14yr,All-SW,Mixed-Or-Other,12-14yr,1.10125775227497,1.62276914219919,-0.521511389924227,1.22877180780154,2.16609096142775,-0.937319153626207,0.243435924187098,0.532527345998849,-0.289091421811751,17253,27792,9,1917,3088,45045,12-14yr
All-SW_Mixed-Or-Other_15-19yr,All-SW,Mixed-Or-Other,15-19yr,1.41249339073948,1.79993077189339,-0.387437381153907,1.38227962837072,2.36760124610592,-0.985321617735196,0.366341868721203,0.467289719626168,-0.100947850904966,26478,28890,9,2942,3210,55368,15-19yr
All-SW_Mixed-Or-Other_20yr-Plus,All-SW,Mixed-Or-Other,20yr-Plus,1.38051968754982,1.78422021419009,-0.403700526640277,1.26893033636219,2.39499665327979,-1.1260663169176,0.302885381794994,0.420431726907631,-0.117546345112636,31365,47808,9,3485,5312,79173,20yr-Plus
Mixed-Wall_Mixed-Or-Other_3-5yr,Mixed-Wall,Mixed-Or-Other,3-5yr,6.97530864197531,10.5282728847126,-3.55296424273728,3.85802469135802,4.10710019251857,-0.249075501160543,5.35493827160494,8.53308515839279,-3.17814688678785,113,358,9,16,53,471,3-5yr
Mixed-Wall_Mixed-Or-Other_6-8yr,Mixed-Wall,Mixed-Or-Other,6-8yr,6.68091798122758,8.68636940926098,-2.0054514280334,4.95601749471719,3.46045149258001,1.49556600213718,3.85522630104673,5.43667547683612,-1.58144917578939,164,778,9,19,90,942,6-8yr
Mixed-Wall_Mixed-Or-Other_9-11yr,Mixed-Wall,Mixed-Or-Other,9-11yr,5.05050505050505,4.55153949129853,0.498965559206523,1.01010101010101,3.4805890227577,-2.47048801265669,3.36700336700337,2.67737617135208,0.689627195651292,297,747,9,33,83,1044,9-11yr
Mixed-Wall_Mixed-Or-Other_12-14yr,Mixed-Wall,Mixed-Or-Other,12-14yr,6.08465608465609,5.13739545997611,0.947260624679979,0.793650793650794,2.7479091995221,-1.95425840587131,2.64550264550265,2.389486260454,0.256016385048643,378,837,9,42,93,1215,12-14yr
Mixed-Wall_Mixed-Or-Other_15-19yr,Mixed-Wall,Mixed-Or-Other,15-19yr,6.06060606060606,5.15297906602254,0.907626994583516,1.17845117845118,4.02576489533011,-2.84731371687893,3.53535353535354,2.41545893719807,1.11989459815547,594,621,9,66,69,1215,15-19yr
Mixed-Wall_Mixed-Or-Other_20yr-Plus,Mixed-Wall,Mixed-Or-Other,20yr-Plus,12.7777777777778,4.10742496050553,8.67035281727225,1.66666666666667,3.7914691943128,-2.12480252764613,8.47222222222222,2.00105318588731,6.47116903633491,720,1899,9,80,211,2619,20yr-Plus
