rep,kappa_exit_est,K_est,K_log_est,gamma_price_est,gamma_risk_est,kappa_exit_true,K_true,gamma_price_true,gamma_risk_true,converged,n_iter,log_lik,cond_num,n_obs,maintain_sh,exit_sh,replace_sh
31,14.9186199083401,6.07784906666664,1.8046508614562,-1.01788643027928,0.605893057624309,15,6,-1,0.6,TRUE,10,-5333.02294202378,11750.2240709324,13389,0.845544850250206,0.144372245873478,0.0100829038763164
32,15.1511755337946,5.8562737777109,1.76751352722447,-0.988227694038165,0.589238125698789,15,6,-1,0.6,TRUE,21,-5564.98823170733,11720.2874850415,14236,0.8529081202585,0.135150323124473,0.0119415566170273
33,15.122094992415,6.06543510321314,1.80260627984148,-0.94124427892102,0.60470881068372,15,6,-1,0.6,TRUE,5,-5326.05425660463,11915.1337432843,13322,0.844993244257619,0.144948205975079,0.0100585497673022
34,15.5624030125748,5.85589084677721,1.76744813693222,-0.882078105743147,0.58913547950082,15,6,-1,0.6,TRUE,41,-5552.37269929865,11601.9475264561,14173,0.853453750088196,0.135116065758837,0.0114301841529669
35,15.4910614222186,5.88348997399998,1.77215011883269,-1.09560691810935,0.571124425673616,15,6,-1,0.6,TRUE,15,-5408.97593951327,11423.5307655132,13640,0.848240469208211,0.141642228739003,0.0101173020527859
36,15.5313061608374,6.01427586566166,1.79413595409324,-0.751491773617638,0.607640328697833,15,6,-1,0.6,TRUE,46,-5362.20265070495,11978.1422850607,13211,0.84308530769813,0.1466202407085,0.0102944515933692
37,15.0846730829235,6.00162636021864,1.79203049253436,-1.18269873420405,0.578885206924457,15,6,-1,0.6,TRUE,18,-5356.67392255147,12077.748260998,13367,0.845365452233111,0.144834293409142,0.00980025435774669
38,15.0423478412667,6.01803219562821,1.79476032808191,-0.978707033114054,0.593316882689769,15,6,-1,0.6,TRUE,85,-5425.29194933866,11902.6459859713,13782,0.849658975475258,0.139820055144391,0.0105209693803512
39,14.5647131867467,6.1193919153908,1.81146273135742,-1.05086574795766,0.619079285192249,15,6,-1,0.6,TRUE,5,-5312.00289182361,11983.2238969679,13356,0.845312967954478,0.14450434261755,0.0101826894279724
40,15.1632239826718,5.89082855468204,1.77339665919329,-1.02685830106642,0.588447859477303,15,6,-1,0.6,TRUE,6,-5526.30531913126,11845.0888730519,14111,0.852668131245128,0.135922330097087,0.0114095386577847
