YEAR,Plot_Issuer,market_share,HHI
2011,Other Private Insurers,0.287805772055093,1364.63069998627
2012,MID-CONTINENT INS CO,0.274306181189855,1407.49425420666
2012,TANK OWNERS MEMBERS INS CO,0.19106039815751,1407.49425420666
2012,COLONY INS CO,0.0974343603745963,1407.49425420666
2012,GREAT AMERICAN ALLIANCE INS CO,0.0760576492166694,1407.49425420666
2012,Other Private Insurers,0.298871086224343,1407.49425420666
2012,ZURICH AMERICAN INS CO,0.0622703248370269,1407.49425420666
2013,MID-CONTINENT INS CO,0.267298457796605,1335.68007919874
2013,TANK OWNERS MEMBERS INS CO,0.178162317190197,1335.68007919874
2013,COLONY INS CO,0.0988675029465555,1335.68007919874
2013,Other Private Insurers,0.350426320683829,1335.68007919874
2013,GREAT AMERICAN ALLIANCE INS CO,0.070872028234562,1335.68007919874
2013,ZURICH AMERICAN INS CO,0.0343733731482523,1335.68007919874
2014,MID-CONTINENT INS CO,0.265934805389066,1323.79420528527
2014,TANK OWNERS MEMBERS INS CO,0.174773702159747,1323.79420528527
2014,COLONY INS CO,0.0960580947440577,1323.79420528527
2014,GREAT AMERICAN ALLIANCE INS CO,0.0869626402838289,1323.79420528527
2014,Other Private Insurers,0.373930176309197,1323.79420528527
2014,ZURICH AMERICAN INS CO,0.00234058111410411,1323.79420528527
2015,MID-CONTINENT INS CO,0.273172361567355,1328.49545153618
2015,TANK OWNERS MEMBERS INS CO,0.161348458334607,1328.49545153618
2015,COLONY INS CO,0.0879005106478775,1328.49545153618
2015,GREAT AMERICAN ALLIANCE INS CO,0.0813009752453456,1328.49545153618
2015,Other Private Insurers,0.395754766217423,1328.49545153618
2015,ZURICH AMERICAN INS CO,0.000522927987392413,1328.49545153618
2016,MID-CONTINENT INS CO,0.284181481481483,1375.15779912023
2016,TANK OWNERS MEMBERS INS CO,0.158621604938267,1375.15779912023
2016,COLONY INS CO,0.0820818930041149,1375.15779912023
2016,Other Private Insurers,0.399067695473255,1375.15779912023
2016,GREAT AMERICAN ALLIANCE INS CO,0.0759176954732501,1375.15779912023
2016,ZURICH AMERICAN INS CO,0.000129629629629628,1375.15779912023
2017,MID-CONTINENT INS CO,0.30458067172373,1455.02680835536
2017,TANK OWNERS MEMBERS INS CO,0.148048915394079,1455.02680835536
2017,Other Private Insurers,0.412133404864094,1455.02680835536
2017,GREAT AMERICAN ALLIANCE INS CO,0.0712677163389552,1455.02680835536
2017,COLONY INS CO,0.0637660320391248,1455.02680835536
2017,ZURICH AMERICAN INS CO,0.000203259640017298,1455.02680835536
2018,MID-CONTINENT INS CO,0.317061663779452,1535.96966698025
2018,TANK OWNERS MEMBERS INS CO,0.14583389644482,1535.96966698025
2018,Other Private Insurers,0.442398302065279,1535.96966698025
2018,GREAT AMERICAN ALLIANCE INS CO,0.0666073863845785,1535.96966698025
2018,COLONY INS CO,0.02687987091437,1535.96966698025
2018,ZURICH AMERICAN INS CO,0.00121888041150139,1535.96966698025
2019,MID-CONTINENT INS CO,0.445292641068095,2300.62302839993
2019,Other Private Insurers,0.450996642908459,2300.62302839993
2019,TANK OWNERS MEMBERS INS CO,0.0506055590504059,2300.62302839993
2019,GREAT AMERICAN ALLIANCE INS CO,0.0358402602611166,2300.62302839993
2019,COLONY INS CO,0.0149379375772348,2300.62302839993
2019,ZURICH AMERICAN INS CO,0.0023269591346888,2300.62302839993
2020,MID-CONTINENT INS CO,0.532068729956149,3114.1395937353
2020,Other Private Insurers,0.440333136985403,3114.1395937353
2020,GREAT AMERICAN ALLIANCE INS CO,0.0133721120492183,3114.1395937353
2020,COLONY INS CO,0.0117466170888151,3114.1395937353
2020,ZURICH AMERICAN INS CO,0.00233367694220829,3114.1395937353
2020,TANK OWNERS MEMBERS INS CO,0.000145726978205385,3114.1395937353
