term,estimate,std.error,conf.low,conf.high,year,spec
rel_year::-13:texas_treated,0.00142006874403451,0.00682365532625044,-0.012976585561054,0.015816723049123,-13,trends
rel_year::-12:texas_treated,-0.000785367728083204,0.00662652701304696,-0.014766117647143,0.0131953821909766,-12,trends
rel_year::-11:texas_treated,-0.0604814134771418,0.00666681277555869,-0.0745471589255137,-0.0464156680287699,-11,trends
rel_year::-10:texas_treated,-0.0486614651177856,0.00581084578645357,-0.0609212780784325,-0.0364016521571388,-10,trends
rel_year::-9:texas_treated,-0.0289127359452005,0.00548265278292774,-0.0404801221944726,-0.0173453496959284,-9,trends
rel_year::-8:texas_treated,0.0011349982293993,0.00518931410236375,-0.00981349750203785,0.0120834939608365,-8,trends
rel_year::-7:texas_treated,0.0117423656096422,0.004688786549222,0.00184989070695829,0.0216348405123261,-7,trends
rel_year::-6:texas_treated,0.0141110719605851,0.00380901745668252,0.00607474759423727,0.0221473963269329,-6,trends
rel_year::-5:texas_treated,0.00244845639006222,0.00262444483539705,-0.00308863820682267,0.00798555098694711,-5,trends
rel_year::-4:texas_treated,0.0056619699325811,0.00230226960917565,0.000804605646770078,0.0105193342183921,-4,trends
rel_year::-3:texas_treated,0.00420218663937847,0.00200561566582522,-0.0000292925355261254,0.00843366581428306,-3,trends
rel_year::-2:texas_treated,0.00712071677995777,0.00165787174763734,0.00362291314074276,0.0106185204191728,-2,trends
ref_-1,0,0,0,0,-1,trends
rel_year::0:texas_treated,0.00936526026465511,0.00409050223165602,0.000735054935145287,0.0179954655941649,0,trends
rel_year::1:texas_treated,0.0116880868179669,0.00241910444286343,0.00658422258000791,0.016791951055926,1,trends
rel_year::2:texas_treated,0.00588250853765397,0.00203292501779369,0.00159341166654577,0.0101716054087622,2,trends
rel_year::3:texas_treated,0.0038281059157014,0.00238487230191095,-0.00120353481801352,0.00885974664941632,3,trends
rel_year::4:texas_treated,0.00664417189187748,0.00212832545050822,0.00215379770169613,0.0111345460820588,4,trends
rel_year::5:texas_treated,0.00776885504563903,0.00252202391387132,0.00244784970448517,0.0130898603867929,5,trends
rel_year::6:texas_treated,0.00470632495427029,0.00251135098019096,-0.000592162465143571,0.0100048123736841,6,trends
rel_year::7:texas_treated,0.00353339720341476,0.00269713349505064,-0.00215705705993911,0.00922385146676863,7,trends
rel_year::8:texas_treated,0.00342308121459791,0.00270924828041736,-0.00229293301164477,0.00913909544084059,8,trends
rel_year::9:texas_treated,0.00735505611853479,0.00583685374888881,-0.00495962884640562,0.0196697410834752,9,trends
rel_year::10:texas_treated,0.00515462845717592,0.0032915635570645,-0.00178996361094721,0.0120992205252991,10,trends
rel_year::11:texas_treated,0.00126999439404114,0.00340499132377075,-0.00591390934323768,0.00845389813131996,11,trends
rel_year::12:texas_treated,0.00171369448447827,0.00290579752489977,-0.00441700239958475,0.00784439136854129,12,trends
rel_year::13:texas_treated,0.00471976992065299,0.00287470569884295,-0.00134532894445209,0.0107848687857581,13,trends
rel_year::14:texas_treated,0.00162098718626122,0.00321671106509469,-0.00516567992826435,0.00840765430078678,14,trends
rel_year::15:texas_treated,0.00295312851952046,0.00368198642674841,-0.00481518380100416,0.0107214408400451,15,trends
rel_year::16:texas_treated,0.00575561715440207,0.00426987893758127,-0.00325303994356926,0.0147642742523734,16,trends
rel_year::17:texas_treated,0.00893314831939027,0.00462051468895259,-0.000815285548969563,0.0186815821877501,17,trends
rel_year::18:texas_treated,0.0132594351004396,0.0051809810296313,0.00232852061566456,0.0241903495852146,18,trends
rel_year::19:texas_treated,0.00575325204653919,0.00760379122509148,-0.0102893451307511,0.0217958492238295,19,trends
