mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1989-1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1989-1991,Control States,8557,5721325,0.00149563256763075
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1992-1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1992-1994,Control States,5497,5721325,0.00096079142506325
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1995-1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,1k-5k,1995-1997,Control States,3511,5721325,0.000613669036455716
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1989-1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1989-1991,Control States,137,5721325,0.000023945502134558
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1992-1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1992-1994,Control States,77,5721325,0.0000134584209077443
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1995-1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,25k-Plus,1995-1997,Control States,122,5721325,0.0000213237318278546
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1989-1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1989-1991,Control States,14777,5721325,0.00258279332147711
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1992-1994,Texas,29,358115,0.000080979573600659
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1992-1994,Control States,10090,5721325,0.00176357749297584
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1995-1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,5k-12k,1995-1997,Control States,9415,5721325,0.00164559782917419
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1989-1991,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1989-1991,Control States,2111,5721325,0.000368970474496729
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1992-1994,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1992-1994,Control States,1030,5721325,0.000180028227726969
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1995-1997,Texas,0,,0
Unknown-Wall,Motor-Fuel-Mixed,Under-1k,1995-1997,Control States,379,5721325,0.00006624339641604
Unknown-Wall,Other-Fuel,12k-25k,1989-1991,Texas,80,358115,0.000223391927174232
Unknown-Wall,Other-Fuel,12k-25k,1989-1991,Control States,11318,5721325,0.00197821308875129
Unknown-Wall,Other-Fuel,12k-25k,1992-1994,Texas,0,,0
Unknown-Wall,Other-Fuel,12k-25k,1992-1994,Control States,10808,5721325,0.00188907289832338
