make_model_tank,closure_rate_Control,closure_rate_Texas,n_Control,n_Texas,pre_gap
Single-Walled_Other-Fuel_12k-25k_1990,0.0186190845616757,0,2578,837,-0.0186190845616757
Double-Walled_Motor-Fuel-Mixed_12k-25k_1995,0.0184049079754601,0,163,56,-0.0184049079754601
Double-Walled_Other-Fuel_1k-5k_1989,0.01328125,0.0303867403314917,5120,362,0.0171054903314917
Single-Walled_Other-Fuel_1k-5k_1990,0.0331737633324935,0.0172562553925798,11907,1159,-0.0159175079399137
Double-Walled_Gasoline-Only_Under-1k_1994,0.0158730158730159,0,126,5,-0.0158730158730159
Single-Walled_Diesel-Only_Under-1k_1992,0.015552099533437,0,643,7,-0.015552099533437
Single-Walled_Diesel-Only_5k-12k_1992,0.00211347748333604,0.0171306209850107,6151,467,0.0150171435016747
Single-Walled_Other-Fuel_12k-25k_1996,0.0146341463414634,0,410,264,-0.0146341463414634
Double-Walled_Other-Fuel_12k-25k_1996,0.0143884892086331,0,556,207,-0.0143884892086331
Single-Walled_Other-Fuel_Under-1k_1989,0.053406762295082,0.0675675675675676,7808,296,0.0141608052724856
Single-Walled_Diesel-Only_1k-5k_1994,0.00256657042027591,0.0163934426229508,3117,122,0.0138268722026749
Double-Walled_Diesel-Only_5k-12k_1997,0.0138248847926267,0,1519,32,-0.0138248847926267
Double-Walled_Gasoline-Only_12k-25k_1997,0.013531440700451,0,3769,538,-0.013531440700451
Single-Walled_Gasoline-Only_1k-5k_1991,0.0135233386651156,0.027027027027027,13754,703,0.0135036883619114
Double-Walled_Diesel-Only_5k-12k_1990,0.00325954094798316,0.0167130919220056,7363,359,0.0134535509740224
Double-Walled_Other-Fuel_1k-5k_1995,0.00763888888888889,0.0208333333333333,1440,48,0.0131944444444444
Double-Walled_Motor-Fuel-Mixed_12k-25k_1994,0.0131578947368421,0,228,75,-0.0131578947368421
Single-Walled_Diesel-Only_1k-5k_1996,0.00728155339805825,0.0204081632653061,1648,49,0.0131266098672479
Double-Walled_Other-Fuel_5k-12k_1997,0.0128956623681125,0,853,36,-0.0128956623681125
