facility_id,state
10000415,Illinois
10000417,Massachusetts
10000418,Ohio
10000431,Pennsylvania
10000438,Tennessee
10000439,Virginia
10000441,New Jersey
10000442,Michigan
10000444,Arkansas
10000447,Texas
10000448,Oklahoma
10000453,Louisiana
10000455,New Mexico
10000460,Maine
10000465,Montana
10000476,Idaho
10000480,Kansas
10000485,South Dakota
10000498,Alabama
10000503,Minnesota
10000509,Connecticut
10000518,North Carolina
10000519,Illinois
10000520,Massachusetts
10000527,Ohio
10000529,Pennsylvania
10000531,Tennessee
10000535,Virginia
10000536,New Jersey
10000537,Michigan
10000539,Arkansas
10000541,Texas
10000542,Oklahoma
10000543,Louisiana
10000544,New Mexico
10000546,Maine
10000547,Montana
10000548,Idaho
10000567,Kansas
10000572,South Dakota
10000576,Alabama
10000578,Minnesota
10000581,Connecticut
10000583,North Carolina
10000585,Illinois
10000590,Massachusetts
10000593,Ohio
10000594,Pennsylvania
10000600,Tennessee
10000603,Virginia
10000606,New Jersey
10000609,Michigan
10000610,Arkansas
10000612,Texas
10000613,Oklahoma
10000620,Louisiana
10000626,New Mexico
10000634,Maine
10000646,Montana
10000650,Idaho
10000652,Kansas
10000702,South Dakota
1000141,Alabama
10001601,Minnesota
10001630,Connecticut
10001631,North Carolina
10001635,Illinois
10001641,Massachusetts
10001643,Ohio
10001650,Pennsylvania
10001651,Tennessee
10001652,Virginia
10001655,New Jersey
10001658,Michigan
100035,Arkansas
100036,Texas
100038,Oklahoma
100060,Louisiana
100061,New Mexico
100062,Maine
1000643,Montana
1000688,Idaho
1000750,Kansas
10008,South Dakota
100081,Alabama
1000839,Minnesota
1000842,Connecticut
1000843,North Carolina
1000844,Illinois
100102,Massachusetts
1001023,Ohio
100112,Pennsylvania
100113,Tennessee
1001203,Virginia
100130,New Jersey
100135,Michigan
100144,Arkansas
1001440,Texas
100150,Oklahoma
100152,Louisiana
100155,New Mexico
100156,Maine
100157,Montana
1001583,Idaho
100160,Kansas
1001607,South Dakota
1001616,Alabama
100162,Minnesota
1001630,Connecticut
1001631,North Carolina
1001648,Illinois
100166,Massachusetts
1001668,Ohio
100167,Pennsylvania
1001676,Tennessee
1001679,Virginia
100176,New Jersey
100179,Michigan
10018,Arkansas
10019,Texas
100195,Oklahoma
100200,Louisiana
100206,New Mexico
10021,Maine
100210,Montana
100212,Idaho
100215,Kansas
10023,South Dakota
100234,Alabama
1002355,Minnesota
100238,Connecticut
100239,North Carolina
100241,Illinois
100243,Massachusetts
100245,Ohio
10025,Pennsylvania
10026,Tennessee
100260,Virginia
100262,New Jersey
100263,Michigan
100268,Arkansas
100269,Texas
100278,Oklahoma
100283,Louisiana
10029,New Mexico
100296,Maine
100297,Montana
100304,Idaho
1003076,Kansas
10031,South Dakota
1003263,Alabama
1003301,Minnesota
1003306,Connecticut
100331,North Carolina
100332,Illinois
100333,Massachusetts
100335,Ohio
100337,Pennsylvania
100345,Tennessee
10035,Virginia
100354,New Jersey
100363,Michigan
10037,Arkansas
100371,Texas
100377,Oklahoma
100380,Louisiana
100384,New Mexico
1003848,Maine
100393,Montana
100396,Idaho
1004,Kansas
1004012,South Dakota
1004013,Alabama
100411,Minnesota
1004199,Connecticut
100421,North Carolina
100422,Illinois
1004299,Massachusetts
100430,Ohio
100437,Pennsylvania
1004371,Tennessee
1004372,Virginia
1004373,New Jersey
100439,Michigan
10045,Arkansas
100450,Texas
100454,Oklahoma
1004593,Louisiana
100469,New Mexico
100471,Maine
1005,Montana
10051,Idaho
100511,Kansas
100512,South Dakota
100513,Alabama
1005156,Minnesota
1005160,Connecticut
10052,North Carolina
1005279,Illinois
10053,Massachusetts
100531,Ohio
100532,Pennsylvania
100538,Tennessee
100539,Virginia
10054,New Jersey
100540,Michigan
100541,Arkansas
100542,Texas
100544,Oklahoma
1005470,Louisiana
10055,New Mexico
100552,Maine
100555,Montana
100559,Idaho
1005622,Kansas
1005624,South Dakota
100563,Alabama
10057,Minnesota
10059,Connecticut
100599,North Carolina
10060,Illinois
100602,Massachusetts
100603,Ohio
1006072,Pennsylvania
1006083,Tennessee
1006098,Virginia
10061,New Jersey
1006107,Michigan
100611,Arkansas
100637,Texas
100638,Oklahoma
100641,Louisiana
100642,New Mexico
1006441,Maine
1006494,Montana
10066,Idaho
100664,Kansas
1006834,South Dakota
100686,Alabama
10069,Minnesota
100692,Connecticut
1006932,North Carolina
1006934,Illinois
1006937,Massachusetts
1006938,Ohio
100694,Pennsylvania
1006965,Tennessee
1006970,Virginia
1006972,New Jersey
1006980,Michigan
1006981,Arkansas
1006984,Texas
1006985,Oklahoma
1006987,Louisiana
1006988,New Mexico
1006992,Maine
1006993,Montana
1006995,Idaho
1006997,Kansas
1006998,South Dakota
1006999,Alabama
10070,Minnesota
100700,Connecticut
1007002,North Carolina
1007003,Illinois
10071,Massachusetts
1007250,Ohio
100728,Pennsylvania
10073,Tennessee
100731,Virginia
1007351,New Jersey
1007649,Michigan
10077,Arkansas
1007726,Texas
100776,Oklahoma
100777,Louisiana
100782,New Mexico
100801,Maine
1008046,Montana
100805,Idaho
100809,Kansas
100810,South Dakota
100830,Alabama
100833,Minnesota
1008426,Connecticut
1008648,North Carolina
1008671,Illinois
1008697,Massachusetts
100875,Ohio
100879,Pennsylvania
1008843,Tennessee
100897,Virginia
1009,New Jersey
1009030,Michigan
1009038,Arkansas
10092,Texas
100939,Oklahoma
100944,Louisiana
10095,New Mexico
100976,Maine
100977,Montana
10098,Idaho
1009855,Kansas
101003,South Dakota
1010064,Alabama
101008,Minnesota
101009,Connecticut
10101,North Carolina
1010125,Illinois
1010126,Massachusetts
1010184,Ohio
10102,Pennsylvania
101020,Tennessee
101032,Virginia
10104,New Jersey
101053,Michigan
1010567,Arkansas
101057,Texas
101059,Oklahoma
101065,Louisiana
10107,New Mexico
1010786,Maine
101081,Montana
101082,Idaho
1010876,Kansas
101094,South Dakota
101100,Alabama
101109,Minnesota
101110,Connecticut
1011216,North Carolina
1011272,Illinois
101129,Massachusetts
101135,Ohio
1011410,Pennsylvania
101150,Tennessee
101151,Virginia
1011549,New Jersey
101161,Michigan
101178,Arkansas
101194,Texas
101196,Oklahoma
101197,Louisiana
1012,New Mexico
1012022,Maine
101205,Montana
101208,Idaho
101220,Kansas
101223,South Dakota
101224,Alabama
101247,Minnesota
101256,Connecticut
101268,North Carolina
101271,Illinois
