s_idx,regime,wall,age_bin,age_label,n_cell,action,model,empirical,residual
19,RB,SW,3,10-15,19093,Maintain,0.9775,0.98633,0.00883
20,RB,SW,4,15-20,26212,Maintain,0.97128,0.97658,0.00529
21,RB,SW,5,20-25,36841,Maintain,0.96811,0.97158,0.00347
22,RB,SW,6,25-30,37789,Maintain,0.97015,0.97179,0.00164
23,RB,SW,7,30-35,31888,Maintain,0.97345,0.96735,-0.00609
24,RB,SW,8,35+,30722,Maintain,0.97628,0.95671,-0.01957
9,FF,DW,1,0-5,64621,Replace,0.00217,0.00099,-0.00118
10,FF,DW,2,5-10,77103,Replace,0.00151,0.00636,0.00484
11,FF,DW,3,10-15,77966,Replace,0.00141,0.0092,0.00779
12,FF,DW,4,15-20,62241,Replace,0.00144,0.01067,0.00923
13,FF,DW,5,20-25,41520,Replace,0.00124,0.00686,0.00562
14,FF,DW,6,25-30,20407,Replace,0.00126,0.00265,0.00138
15,FF,DW,7,30-35,4872,Replace,0.00152,0.00534,0.00381
16,FF,DW,8,35+,2867,Replace,0.0022,0.00384,0.00164
1,FF,SW,1,0-5,46709,Replace,0.00215,0.00201,-0.00013
2,FF,SW,2,5-10,97999,Replace,0.00219,0.0035,0.00131
3,FF,SW,3,10-15,180163,Replace,0.00254,0.0034,0.00086
4,FF,SW,4,15-20,240344,Replace,0.00326,0.00271,-0.00055
5,FF,SW,5,20-25,255278,Replace,0.00362,0.00174,-0.00188
6,FF,SW,6,25-30,234030,Replace,0.00336,0.00113,-0.00223
7,FF,SW,7,30-35,191377,Replace,0.00294,0.00092,-0.00202
8,FF,SW,8,35+,410728,Replace,0.00257,0.00032,-0.00225
25,RB,DW,1,0-5,18813,Replace,0.00217,0.00053,-0.00164
26,RB,DW,2,5-10,16557,Replace,0.00152,0.00568,0.00415
27,RB,DW,3,10-15,14499,Replace,0.00142,0.00738,0.00596
28,RB,DW,4,15-20,13106,Replace,0.00145,0.01976,0.01831
29,RB,DW,5,20-25,8677,Replace,0.00127,0.02512,0.02386
30,RB,DW,6,25-30,4218,Replace,0.00129,0.01707,0.01578
31,RB,DW,7,30-35,1770,Replace,0.00155,0.01921,0.01766
32,RB,DW,8,35+,976,Replace,0.00227,0.01844,0.01617
17,RB,SW,1,0-5,3350,Replace,0.00216,9e-04,-0.00126
18,RB,SW,2,5-10,9999,Replace,0.0022,7e-04,-0.0015
19,RB,SW,3,10-15,19093,Replace,0.00255,0.00225,-0.00029
20,RB,SW,4,15-20,26212,Replace,0.00325,0.00198,-0.00127
21,RB,SW,5,20-25,36841,Replace,0.00361,0.00149,-0.00212
22,RB,SW,6,25-30,37789,Replace,0.00338,0.00198,-0.00139
23,RB,SW,7,30-35,31888,Replace,0.003,0.00223,-0.00078
24,RB,SW,8,35+,30722,Replace,0.00268,0.00205,-0.00063
