make_model_tank,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Double-Walled_Diesel-Only_5k-12k_1986,,0.231578947368421,0.234042553191489,0.234042553191489,0.234042553191489,0.234042553191489,0.234042553191489,0.225806451612903,0.225806451612903,0.217391304347826,0.217391304347826,0.217391304347826,0.213483146067416,0.218390804597701,0.209876543209877,0.2125,0.215189873417722,0.205128205128205,0.207792207792208,0.2,0.202702702702703,0.205479452054795,0.205479452054795,0.205479452054795,0.208333333333333,0.208333333333333,0.223880597014925,0.223880597014925,0.223880597014925,0.227272727272727,0.227272727272727,0.238095238095238,0.241935483870968,0.25,0.25,0.25
Double-Walled_Diesel-Only_5k-12k_1987,,,0.198630136986301,0.202797202797203,0.202797202797203,0.202797202797203,0.202797202797203,0.198581560283688,0.198581560283688,0.198581560283688,0.197080291970803,0.185185185185185,0.170542635658915,0.1640625,0.163934426229508,0.165289256198347,0.166666666666667,0.168067226890756,0.168067226890756,0.170940170940171,0.165217391304348,0.160714285714286,0.160714285714286,0.165137614678899,0.166666666666667,0.16,0.164948453608247,0.172043010752688,0.172043010752688,0.173913043478261,0.177777777777778,0.186046511627907,0.188235294117647,0.197530864197531,0.20253164556962,0.20253164556962
Double-Walled_Diesel-Only_5k-12k_1988,,,,0.210526315789474,0.216216216216216,0.216216216216216,0.217194570135747,0.217194570135747,0.218181818181818,0.218181818181818,0.207373271889401,0.203703703703704,0.2,0.19811320754717,0.200956937799043,0.195121951219512,0.199004975124378,0.196969696969697,0.196969696969697,0.193877551020408,0.195876288659794,0.198952879581152,0.171270718232044,0.167597765363128,0.163841807909605,0.165714285714286,0.156976744186047,0.159763313609467,0.162650602409639,0.167701863354037,0.173076923076923,0.177631578947368,0.177631578947368,0.181208053691275,0.1875,0.1875
Double-Walled_Diesel-Only_5k-12k_1989,,,,,0.134868421052632,0.137123745819398,0.137123745819398,0.13758389261745,0.13758389261745,0.139455782312925,0.139455782312925,0.136518771331058,0.13840830449827,0.138888888888889,0.140350877192982,0.141843971631206,0.141818181818182,0.144444444444444,0.146067415730337,0.145038167938931,0.147859922178988,0.150197628458498,0.154471544715447,0.156118143459916,0.152542372881356,0.152838427947598,0.147982062780269,0.149321266968326,0.153488372093023,0.158653846153846,0.164179104477612,0.170103092783505,0.174603174603175,0.18232044198895,0.188571428571429,0.203703703703704
Double-Walled_Diesel-Only_5k-12k_1990,,,,,,0.100985221674877,0.10379746835443,0.104060913705584,0.104325699745547,0.102040816326531,0.10230179028133,0.100515463917526,0.10077519379845,0.0966057441253264,0.0923482849604222,0.0945945945945946,0.0906593406593407,0.0891364902506964,0.0903954802259887,0.0911680911680912,0.0927536231884058,0.0890207715133531,0.0892857142857143,0.0876132930513595,0.0889570552147239,0.0909090909090909,0.0917721518987342,0.092948717948718,0.0950819672131147,0.0976430976430976,0.0989761092150171,0.101754385964912,0.105454545454545,0.108614232209738,0.109848484848485,0.110266159695818
Double-Walled_Diesel-Only_5k-12k_1991,,,,,,,0.1375,0.138190954773869,0.138190954773869,0.136020151133501,0.136708860759494,0.135204081632653,0.135204081632653,0.135549872122762,0.13659793814433,0.136950904392765,0.137305699481865,0.133159268929504,0.134210526315789,0.132978723404255,0.131016042780749,0.129032258064516,0.130434782608696,0.124653739612188,0.123249299719888,0.123595505617978,0.126436781609195,0.128654970760234,0.129793510324484,0.133738601823708,0.134969325153374,0.137931034482759,0.141479099678457,0.143790849673203,0.145695364238411,0.146666666666667
Double-Walled_Diesel-Only_5k-12k_1992,,,,,,,,0.0809859154929578,0.0821428571428571,0.0824372759856631,0.0797101449275362,0.0797101449275362,0.0797101449275362,0.08,0.0774907749077491,0.0774907749077491,0.0780669144981413,0.0780669144981413,0.0789473684210526,0.0792452830188679,0.0807692307692308,0.0813953488372093,0.078125,0.078740157480315,0.0790513833992095,0.0793650793650794,0.08,0.0803212851405623,0.0813008130081301,0.0826446280991736,0.0833333333333333,0.0847457627118644,0.0858369098712446,0.087719298245614,0.0888888888888889,0.0888888888888889
Double-Walled_Diesel-Only_5k-12k_1993,,,,,,,,,0.0809716599190283,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0836820083682008,0.0836820083682008,0.0811965811965812,0.0815450643776824,0.0815450643776824,0.0782608695652174,0.0786026200873363,0.0707964601769912,0.0669642857142857,0.0630630630630631,0.0630630630630631,0.0633484162895928,0.0639269406392694,0.0651162790697674,0.0651162790697674,0.0660377358490566,0.0669856459330144,0.0682926829268293,0.0689655172413793,0.07,0.0703517587939699,0.0703517587939699,0.0710659898477157,0.0732984293193717
Double-Walled_Diesel-Only_5k-12k_1994,,,,,,,,,,0.0936454849498328,0.0962199312714777,0.0962199312714777,0.0934256055363322,0.09375,0.0944055944055944,0.0947368421052632,0.0954063604240283,0.0931899641577061,0.0942028985507246,0.0942028985507246,0.0882352941176471,0.0861423220973783,0.0867924528301887,0.0871212121212121,0.0871212121212121,0.0877862595419847,0.0862745098039216,0.0866141732283465,0.0869565217391304,0.0883534136546185,0.0894308943089431,0.0905349794238683,0.0912863070539419,0.0932203389830508,0.094017094017094,0.094017094017094
Double-Walled_Diesel-Only_5k-12k_1995,,,,,,,,,,,0.0912280701754386,0.0942028985507246,0.0942028985507246,0.0942028985507246,0.0945454545454546,0.0948905109489051,0.0948905109489051,0.0952380952380952,0.0955882352941176,0.0929368029739777,0.0932835820895522,0.0943396226415094,0.0950570342205323,0.0954198473282443,0.0961538461538462,0.0968992248062016,0.0980392156862745,0.0980392156862745,0.0988142292490119,0.0988142292490119,0.099601593625498,0.101214574898785,0.101214574898785,0.102459016393443,0.102880658436214,0.102880658436214
Double-Walled_Diesel-Only_5k-12k_1996,,,,,,,,,,,,0.0996677740863787,0.106382978723404,0.106382978723404,0.106382978723404,0.106382978723404,0.107142857142857,0.10752688172043,0.107913669064748,0.108303249097473,0.11070110701107,0.109848484848485,0.110687022900763,0.111538461538462,0.114173228346457,0.114624505928854,0.116,0.116,0.116935483870968,0.117886178861789,0.120331950207469,0.120833333333333,0.121848739495798,0.122881355932203,0.124463519313305,0.125
Double-Walled_Diesel-Only_5k-12k_1997,,,,,,,,,,,,,0.0496894409937888,0.053156146179402,0.053156146179402,0.053156146179402,0.053156146179402,0.0533333333333333,0.0535117056856187,0.0536912751677852,0.0538720538720539,0.0538720538720539,0.054421768707483,0.0546075085324232,0.0549828178694158,0.0555555555555556,0.0557491289198606,0.0559440559440559,0.056140350877193,0.0567375886524823,0.0575539568345324,0.0579710144927536,0.0588235294117647,0.0592592592592593,0.0594795539033457,0.0601503759398496
Double-Walled_Diesel-Only_Under-1k_1985,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_Under-1k_1986,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double-Walled_Diesel-Only_Under-1k_1987,,,0.285714285714286,0.259259259259259,0.259259259259259,0.259259259259259,0.259259259259259,0.230769230769231,0.208333333333333,0.208333333333333,0.173913043478261,0.173913043478261,0.173913043478261,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.1,0.1,0.1,0.105263157894737,0.111111111111111,0.111111111111111,0.111111111111111,0.125,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143
