seed,N_facilities,T_periods,n_obs,kappa_start,K_log_start,gp_start,gr_start,kappa_true,K_true,gp_true,gr_true,kappa_est,K_est,K_log_est,gp_est,gr_est,converged,n_iter,log_lik,maintain_sh,exit_sh,replace_sh,truth_label,start_label,rep
1028,2000,30,49522,10,2.30258509299405,-1,1,8,4,-1,0.6,8.4722759509692,3.92718083945223,1.36792182481627,-0.95305427784966,0.590993638902042,TRUE,5,-12384.8704321134,0.926073260369129,0.0111465611243488,0.0627801785065224,truth1,mid,28
1028,2000,30,49522,29.5053364150226,3.16766690238388,-0.553213096223772,1.9989350521937,8,4,-1,0.6,8.47337087842924,3.92711846823284,1.36790594275806,-0.952726991475852,0.590991263751555,TRUE,5,-12384.8704949009,0.926073260369129,0.0111465611243488,0.0627801785065224,truth1,cold,28
1029,2000,30,49293,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.89706518971801,3.99476245331439,1.38498411645271,-1.02553316997297,0.602356729964236,TRUE,5,-12258.5673061361,0.926135556772767,0.0113403525855598,0.0625240906416733,truth1,warm,29
1029,2000,30,49293,10,2.30258509299405,-1,1,8,4,-1,0.6,7.8963578480967,3.99472927332513,1.3849758105453,-1.02549380659276,0.602375467201063,TRUE,5,-12258.5672439299,0.926135556772767,0.0113403525855598,0.0625240906416733,truth1,mid,29
1029,2000,30,49293,10.5851349560544,3.63974222154458,-4.36077167838812,-0.392274711281061,8,4,-1,0.6,7.89577621818664,3.99479696920833,1.38499275670235,-1.02561213922815,0.602382119309853,TRUE,5,-12258.5671980209,0.926135556772767,0.0113403525855598,0.0625240906416733,truth1,cold,29
1030,2000,30,49097,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.43880543397601,3.99575546465589,1.38523266388276,-1.02275686510466,0.585360219326028,TRUE,5,-12128.4401074274,0.927327535287288,0.0117929812412164,0.0608794834714952,truth1,warm,30
1030,2000,30,49097,10,2.30258509299405,-1,1,8,4,-1,0.6,8.43900274932794,3.99573309892359,1.38522706649445,-1.02270946221814,0.58535869277081,TRUE,5,-12128.4401223388,0.927327535287288,0.0117929812412164,0.0608794834714952,truth1,mid,30
1030,2000,30,49097,14.8169422708452,3.90501950057779,-1.50192061858252,2.38291642069817,8,4,-1,0.6,8.43905853529135,3.9957219013482,1.38522426410731,-1.02270759209789,0.585357262546093,TRUE,5,-12128.4401270778,0.927327535287288,0.0117929812412164,0.0608794834714952,truth1,cold,30
1031,2000,30,48978,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.73261584874014,4.04560913929935,1.39763212985251,-0.97749976677852,0.612732073223826,TRUE,8,-12155.8099551213,0.926252603209604,0.0118216342031116,0.0619257625872841,truth1,warm,31
1031,2000,30,48978,10,2.30258509299405,-1,1,8,4,-1,0.6,7.72774867680293,4.04654608389177,1.39786369846946,-0.976698733151202,0.612977304104835,TRUE,5,-12155.809683492,0.926252603209604,0.0118216342031116,0.0619257625872841,truth1,mid,31
1031,2000,30,48978,-6.48453679867089,3.43902157791565,-2.08082428807393,-0.727883584797382,8,4,-1,0.6,7.72731860464633,4.04655503867668,1.39786591141226,-0.976711904020525,0.612993515890434,TRUE,5,-12155.8096708732,0.926252603209604,0.0118216342031116,0.0619257625872841,truth1,cold,31
1032,2000,30,49093,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.89892851951715,3.98593850544266,1.38277279403553,-1.07400146241212,0.593468121620613,TRUE,13,-12250.4422478902,0.926058704907013,0.011834681115434,0.0621066139775528,truth1,warm,32
1032,2000,30,49093,10,2.30258509299405,-1,1,8,4,-1,0.6,7.90058697529974,3.98575838664473,1.38272760446037,-1.07404534545657,0.593411837597471,TRUE,14,-12250.4422764092,0.926058704907013,0.011834681115434,0.0621066139775528,truth1,mid,32
1032,2000,30,49093,2.32339786365628,3.61129352673261,-4.92718552984297,-0.786325937137008,8,4,-1,0.6,7.89959187482222,3.98585170209438,1.38275101640566,-1.07419847455961,0.59342676526777,TRUE,11,-12250.4422776203,0.926058704907013,0.011834681115434,0.0621066139775528,truth1,cold,32
1033,2000,30,49259,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.08909234077208,4.08114068792785,1.40637652971523,-1.14119609686779,0.616145544934171,TRUE,12,-11992.0782942889,0.927059014596317,0.0110436671471203,0.0618973182565623,truth1,warm,33
1033,2000,30,49259,10,2.30258509299405,-1,1,8,4,-1,0.6,7.08903451271371,4.08114821017666,1.40637837288665,-1.14120370381052,0.616147533778625,TRUE,12,-11992.0781967165,0.927059014596317,0.0110436671471203,0.0618973182565623,truth1,mid,33
1033,2000,30,49259,3.42606611549854,3.67807697711477,0.774711924605072,0.840803470462561,8,4,-1,0.6,7.0892597868609,4.08112089888665,1.40637168080394,-1.14117904733138,0.616140038963741,TRUE,12,-11992.0785738107,0.927059014596317,0.0110436671471203,0.0618973182565623,truth1,cold,33
1034,2000,30,49463,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.99536939571934,4.0188721111066,1.39100129388751,-0.985593795483358,0.605548879260918,TRUE,7,-12195.2185807676,0.926793765036492,0.0114631138426703,0.0617431211208378,truth1,warm,34
