term,Estimate,Std. Error,t value,Pr(>|t|)
did_term:mm_install_cohort1988,0.00635238929129237,0.00387298350664025,1.64017979431133,0.119338862723461
did_term:mm_install_cohort1989,0.00468889016656889,0.0032974021679494,1.42199523374634,0.173115749629705
did_term:mm_install_cohort1990,0.00587733720403105,0.00278759079823906,2.10839309978488,0.050138071257728
did_term:mm_install_cohort1991,0.00603294519124496,0.00243688159978626,2.47568252465533,0.0241171824459834
did_term:mm_install_cohort1992,0.00900305966663864,0.0024340164313364,3.69884917403597,0.00178228186178859
did_term:mm_install_cohort1993,0.00963445959579524,0.00228331738634025,4.21950082517331,0.000576835247063504
did_term:mm_install_cohort1994,0.00661666883979866,0.00201437684231405,3.28472245153377,0.00437190407572146
did_term:mm_install_cohort1995,0.00321162916733978,0.00203605662622094,1.57737713479059,0.133134401364809
did_term:mm_install_cohort1996,0.00196983055693451,0.00216612288647942,0.909380797012888,0.375862180177951
did_term:mm_install_cohort1997,0.00143480290438718,0.00225966548974549,0.634962524718112,0.533906417968931
did_term:mm_install_cohort1998,0.00209831780423519,0.00202363869727453,1.03690337957128,0.314305862239151
did_term:mm_install_cohort1999,-4.99553882843403,0.685544944305163,-7.28696035166196,0.00000127000811365144
did_term:mm_install_cohort2001,1.32121885723489,3.98833103218488,0.331271112295587,0.744488256375053
did_term:mm_install_cohort2002,-3.61992495467078,2.50020698689965,-1.44785010746635,0.165850485660283
did_term:mm_install_cohort2004,1.22782489215379,17.1088321718627,0.0717655582695519,0.943626036074044
did_term:mm_install_cohort2006,-2.90712089124969,66.5599347650673,-0.0436767388897056,0.965671006392359
did_term:mm_install_cohort2008,-1.65927511016802,30.8849512535996,-0.0537243881832137,0.957781055315911
did_term:mm_install_cohort2010,0.0441931878911971,5.14335344445408,0.00859229068514614,0.993244455656026
did_term:mm_install_cohort2012,0.0000000272596028002154,1.53042616759264,0.0000000178117725490114,0.99999998599561
did_term:mm_install_cohort2013,-0.198931545161102,7.301094003992,-0.0272468132929575,0.978580177448716
did_term:mm_install_cohort2014,-0.0208147856348341,0.138465839118228,-0.150324338243901,0.882277920705146
did_term:mm_install_cohort2015,-0.0297349361144218,1.04768125790446,-0.0283816627338516,0.977688274911203
did_term:mm_install_cohort2016,0.0214574912469362,0.807324724571371,0.0265785136932707,0.979105422189364
did_term:mm_install_cohort2017,-0.0000206553010458472,3.66708001558885,-0.00000563262894674809,0.999995571382328
did_term:mm_install_cohort2018,0.00600554127721099,1.5275498155061,0.00393148636872524,0.996908902985831
