rel_year,est,se,ci_lo,ci_hi,margin,period
8,0.00371679656381038,0.00143309774917107,0.000907924975435087,0.00652566815218567,downsize,post
9,0.00298084542766889,0.00109078912317584,0.00084289874624424,0.00511879210909354,downsize,post
10,0.00456746318500657,0.00122278096330165,0.00217081249693533,0.0069641138730778,downsize,post
11,0.00331626764715603,0.00129048990125276,0.000786907440700613,0.00584562785361144,downsize,post
12,0.00338478659879856,0.0013356020055597,0.000767006667901538,0.00600256652969557,downsize,post
13,0.00321757168452341,0.00101174994806426,0.00123454178631745,0.00520060158272936,downsize,post
14,0.00313851252411554,0.00130371323585379,0.000583234581842119,0.00569379046638896,downsize,post
15,0.00173463147346824,0.00126837406228506,-0.000751381688610466,0.00422064463554695,downsize,post
16,0.00416489620099485,0.00116790163420077,0.00187580899796133,0.00645398340402836,downsize,post
17,0.00287485851781515,0.00118852180718302,0.00054535577573643,0.00520436125989387,downsize,post
18,0.0048466284602336,0.00137701661847574,0.00214767588802114,0.00754558103244605,downsize,post
19,0.00423700202186602,0.00134203762680369,0.00160660827333079,0.00686739577040126,downsize,post
20,0.00689146511649055,0.00128200390950014,0.00437873745387028,0.00940419277911083,downsize,post
21,0.00820687705194443,0.00165189970789844,0.00496915362446348,0.0114446004794254,downsize,post
22,0.0217758804896718,0.00262448805565936,0.0166318839005794,0.0269198770787641,downsize,post
-13,-0.000939195897678439,0.000903568562409589,-0.00271019028000123,0.000831798484644356,consolidate,pre
-12,-0.00081829577180053,0.000900096478114337,-0.00258248486890463,0.000945893325303572,consolidate,pre
-11,0.000457772521125143,0.000830405238458672,-0.00116982174625385,0.00208536678850414,consolidate,pre
-10,-0.00162975819703185,0.00127866846833738,-0.00413594839497312,0.000876432000909418,consolidate,pre
-9,-0.000205325759100894,0.00100868853156559,-0.00218235528096946,0.00177170376276767,consolidate,pre
-8,0.000290428646812646,0.000879907436029829,-0.00143418992780582,0.00201504722143111,consolidate,pre
