install_year,var,hr,coef,se,p,ci_lo,ci_hi
1944,did_yr1944,0.0000657914939931323,-9.62901999861026,71.1872336738019,0.000000000000000000000603018548775617,0.0000000000000000000000000000000000000000000000000000000000000000166868025135307,259397849188813000000000000000000000000000000000000000000
1945,did_yr1945,,,0,,,
1946,did_yr1946,6.64283699628136,1.89353913071554,0.328237075742788,0.0000000180179432365149,3.49102176343932,12.6402200700378
1947,did_yr1947,1.50323367158067,0.407618568800162,0.75339304990658,0.391275100722528,0.343340775991377,6.58154122489268
1948,did_yr1948,2.8548156315954,1.04900726364812,0.796331407487019,0.00318772660252448,0.599414283316618,13.5965600374199
1949,did_yr1949,5.46795526447061,1.69890473749514,0.476362999363205,0.000760291308045612,2.14949570484987,13.9095578124638
1950,did_yr1950,3.26198030975788,1.18233446793225,0.189919322230416,0.0000281019041621746,2.24811614441226,4.73308088093906
1951,did_yr1951,3.05668505762454,1.11733101425322,0.305339850025331,0.00020032163733297,1.68011947709277,5.56110661705593
1952,did_yr1952,2.95412526501593,1.08320258842877,0.207937792859605,0.0197762793525377,1.96529923156813,4.44047193487282
1953,did_yr1953,0.952807686596696,-0.0483421935967029,0.424626795698234,0.92831718415015,0.414529675631866,2.19005427356661
1954,did_yr1954,1.73755608739565,0.55247957845129,0.262942525234862,0.0967029334644244,1.03780948661411,2.9091092303421
1955,did_yr1955,1.81951683610115,0.59857099117437,0.171276386375128,0.045929961328768,1.30065667803546,2.5453615644799
1956,did_yr1956,6.52838488471603,1.87615957497955,0.102876483652204,0.000000000274756047799344,5.3362420379538,7.98685833585828
1957,did_yr1957,2.8042661456,1.0311418810732,0.188491058507193,0.00507986199920526,1.93808312828216,4.05757033875453
1958,did_yr1958,4.47297082935386,1.49805280293467,0.174660736992148,0.00000463521482107933,3.17630241738057,6.29898083090913
1959,did_yr1959,3.76571947621848,1.32593893893652,0.206159735612595,0.000000000000569980734374275,2.5139767379846,5.64072171365414
1960,did_yr1960,2.13020349387081,0.756217512186513,0.126190128650651,0.00679677899158249,1.66343519721573,2.72794932612629
1961,did_yr1961,4.00267327131031,1.38696245572256,0.0836010581938042,0.0000065838751957695,3.39771919549047,4.71533767067211
1962,did_yr1962,2.93395229240189,1.0763504193302,0.131369794557401,0.00137696911088304,2.26792569276511,3.79557235122422
