panel_id,panel_year,n_active,sw,fac_mixed,age_rank,cap_rank,is_oldest,is_smallest
10066_CO,1989,4,TRUE,FALSE,1,1,TRUE,FALSE
10066_CO,1995,3,TRUE,FALSE,0.5,1,TRUE,FALSE
10066_LA,1994,2,TRUE,FALSE,0.5,0,TRUE,TRUE
1006977_OK,1999,4,TRUE,FALSE,0,1,FALSE,FALSE
1006993_OK,1999,3,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1006995_OK,1998,3,TRUE,FALSE,1,0.5,TRUE,TRUE
1007004_OK,1998,3,TRUE,FALSE,0.25,0,FALSE,TRUE
10071_CO,1999,2,TRUE,TRUE,1,0.5,TRUE,TRUE
10080_CO,1986,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1008150_OK,1993,5,TRUE,FALSE,0.5,0,TRUE,TRUE
1008699_OK,1999,3,TRUE,FALSE,0.5,0,TRUE,TRUE
1008700_OK,2004,3,TRUE,FALSE,0.5,0.5,TRUE,TRUE
1009174_OK,1986,2,TRUE,FALSE,1,0,TRUE,TRUE
1010104_OK,1998,3,TRUE,FALSE,1,0,TRUE,TRUE
1010105_OK,1998,3,TRUE,FALSE,0.5,0,TRUE,TRUE
1010107_OK,1998,3,TRUE,FALSE,0.5,0,TRUE,TRUE
1010107_OK,2008,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10112_CO,1993,2,TRUE,FALSE,1,0,TRUE,TRUE
10114_CO,1999,4,FALSE,TRUE,1,0,TRUE,TRUE
10116_CO,1999,2,TRUE,FALSE,0.5,0,TRUE,TRUE
10117_TN,1990,7,TRUE,FALSE,0,0,FALSE,TRUE
10117_TN,1992,6,TRUE,FALSE,0.8,0,FALSE,TRUE
1011970_OK,1994,2,TRUE,FALSE,0.5,1,TRUE,FALSE
1012314_OK,1991,2,TRUE,FALSE,1,0,TRUE,TRUE
101269_TX,1996,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10128_CO,1994,6,TRUE,FALSE,0.5,0,TRUE,TRUE
101377_TX,1998,4,TRUE,FALSE,1,0,TRUE,TRUE
10138_ME,1993,5,TRUE,FALSE,0.75,0.625,TRUE,FALSE
10141_LA,1991,3,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10144_LA,1994,5,TRUE,FALSE,1,0.25,TRUE,FALSE
10144_LA,1997,4,TRUE,FALSE,0.5,0,TRUE,TRUE
101538_TX,1999,2,FALSE,FALSE,1,0,TRUE,TRUE
1015_ME,1985,3,TRUE,FALSE,0,0,FALSE,TRUE
1015_ME,1993,2,TRUE,TRUE,1,1,TRUE,FALSE
101787_LA,2003,5,TRUE,FALSE,1,0.25,TRUE,TRUE
10184_LA,1997,4,TRUE,FALSE,0.166666666666667,0,FALSE,TRUE
101917_TX,1989,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
10194_LA,1996,3,TRUE,FALSE,0.5,1,TRUE,FALSE
10198_ME,1993,3,TRUE,TRUE,1,0.25,TRUE,TRUE
10198_ME,2004,2,TRUE,TRUE,1,0,TRUE,TRUE
10212_CO,2006,4,TRUE,FALSE,1,0,TRUE,TRUE
10229_ME,1989,2,TRUE,FALSE,1,1,TRUE,FALSE
10231_CO,1990,2,TRUE,FALSE,1,0,TRUE,TRUE
102333_TX,1995,2,TRUE,FALSE,0.5,1,TRUE,FALSE
10262_CO,1990,2,TRUE,FALSE,0,1,FALSE,FALSE
10273_CO,1996,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
103119_TX,1993,2,TRUE,FALSE,0.5,0,TRUE,TRUE
10311_CO,1990,2,TRUE,FALSE,0.5,1,TRUE,FALSE
1031_ME,2010,2,FALSE,FALSE,0,0,FALSE,TRUE
10321_CO,1993,3,TRUE,FALSE,0.5,0,TRUE,TRUE
103230_LA,1995,5,TRUE,FALSE,0,0.5,FALSE,FALSE
103264_TX,1990,2,TRUE,FALSE,1,0,TRUE,TRUE
10329_CO,2018,4,FALSE,FALSE,0.666666666666667,0,TRUE,TRUE
1033_CO,1985,4,TRUE,FALSE,0.5,0,TRUE,TRUE
10365_LA,1996,2,TRUE,TRUE,1,0,TRUE,TRUE
10368_ME,2020,3,FALSE,FALSE,0,0.75,FALSE,FALSE
10368_ME,1987,4,TRUE,FALSE,0.833333333333333,0.333333333333333,TRUE,FALSE
10376_ME,1994,3,TRUE,FALSE,0.5,1,FALSE,FALSE
10385_ME,1986,4,TRUE,FALSE,0.5,0.833333333333333,TRUE,FALSE
10391_LA,1999,4,TRUE,FALSE,0.5,0,TRUE,TRUE
103945_TX,2000,5,TRUE,TRUE,0.5,0,TRUE,TRUE
10395_CO,2012,3,FALSE,FALSE,0.5,0,TRUE,TRUE
10398_CO,1992,4,TRUE,FALSE,1,0,TRUE,TRUE
103_CO,1995,2,TRUE,FALSE,0.5,0,TRUE,TRUE
10401_ME,1987,7,TRUE,FALSE,0.75,0.166666666666667,FALSE,TRUE
10401_ME,1988,6,TRUE,FALSE,0.8,0.1,FALSE,TRUE
10403_CO,1993,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
