state,size_lab,age_bin,mean_prem,n
SD,2 tanks,1,0,418
SD,2 tanks,2,0,594
SD,2 tanks,3,0,783
SD,2 tanks,4,0,1077
SD,2 tanks,5,0,1467
SD,2 tanks,6,0,1808
SD,2 tanks,7,0,2025
SD,2 tanks,8,0,5169
SD,3 tanks,1,0,335
SD,3 tanks,2,0,597
SD,3 tanks,3,0,915
SD,3 tanks,4,0,1142
SD,3 tanks,5,0,1396
SD,3 tanks,6,0,1478
SD,3 tanks,7,0,1521
SD,3 tanks,8,0,3028
SD,4+ tanks,1,0,290
SD,4+ tanks,2,0,515
SD,4+ tanks,3,0,938
SD,4+ tanks,4,0,1427
SD,4+ tanks,5,0,1912
SD,4+ tanks,6,0,2223
SD,4+ tanks,7,0,2066
SD,4+ tanks,8,0,2774
TN,1 tank,1,213.8,776
TN,1 tank,2,213.8,1546
TN,1 tank,3,213.8,2410
TN,1 tank,4,213.8,3005
TN,1 tank,5,213.8,3308
TN,1 tank,6,213.8,3262
TN,1 tank,7,213.8,3045
TN,1 tank,8,213.8,10181
TN,2 tanks,1,427.5,2239
TN,2 tanks,2,427.5,3930
TN,2 tanks,3,427.5,4780
TN,2 tanks,4,427.5,4874
TN,2 tanks,5,427.5,4358
TN,2 tanks,6,427.5,3566
TN,2 tanks,7,427.5,3064
TN,2 tanks,8,427.5,9134
TN,3 tanks,1,641.3,3627
TN,3 tanks,2,641.3,5383
TN,3 tanks,3,641.3,6915
TN,3 tanks,4,641.3,7204
TN,3 tanks,5,641.3,7058
TN,3 tanks,6,641.3,6043
TN,3 tanks,7,641.3,4757
TN,3 tanks,8,641.3,7691
TN,4+ tanks,1,924.2,1943
TN,4+ tanks,2,927.4,3308
TN,4+ tanks,3,935.6,5173
TN,4+ tanks,4,940.6,6453
TN,4+ tanks,5,944.2,6517
TN,4+ tanks,6,946.8,5656
TN,4+ tanks,7,947.4,4536
TN,4+ tanks,8,940.3,6218
TX,1 tank,1,272.3,9331
TX,1 tank,2,286.5,11900
TX,1 tank,3,298.8,12351
TX,1 tank,4,302.3,11760
TX,1 tank,5,320.8,8805
TX,1 tank,6,328.4,5308
TX,1 tank,7,338,3210
TX,1 tank,8,356.1,3724
TX,2 tanks,1,544,18010
TX,2 tanks,2,572.4,22960
TX,2 tanks,3,599.2,21991
TX,2 tanks,4,608.8,21044
TX,2 tanks,5,644.8,17009
TX,2 tanks,6,655.2,11568
TX,2 tanks,7,664.6,8253
TX,2 tanks,8,736.7,9561
TX,3 tanks,1,813.1,5230
TX,3 tanks,2,851.1,9576
TX,3 tanks,3,889.8,17499
TX,3 tanks,4,876,25926
TX,3 tanks,5,916.2,27556
TX,3 tanks,6,974.5,25269
TX,3 tanks,7,1035.1,19867
TX,3 tanks,8,1121.7,17188
TX,4+ tanks,1,1196.6,1566
TX,4+ tanks,2,1235.8,2772
TX,4+ tanks,3,1258.5,7511
TX,4+ tanks,4,1215.5,14519
TX,4+ tanks,5,1264.2,15699
TX,4+ tanks,6,1351.4,14855
TX,4+ tanks,7,1458.5,12170
TX,4+ tanks,8,1567.5,9608
VA,1 tank,1,0,1177
VA,1 tank,2,0,2886
VA,1 tank,3,0,4845
VA,1 tank,4,0,6615
VA,1 tank,5,0,8385
VA,1 tank,6,0,9660
VA,1 tank,7,0,9859
VA,1 tank,8,0,32831
VA,2 tanks,1,0,3077
VA,2 tanks,2,0,5596
VA,2 tanks,3,0,6893
VA,2 tanks,4,0,7252
VA,2 tanks,5,0,7200
VA,2 tanks,6,0,6523
VA,2 tanks,7,0,6346
VA,2 tanks,8,0,20664
VA,3 tanks,1,0,2654
VA,3 tanks,2,0,4533
VA,3 tanks,3,0,6234
VA,3 tanks,4,0,7260
VA,3 tanks,5,0,7671
VA,3 tanks,6,0,6732
VA,3 tanks,7,0,5705
VA,3 tanks,8,0,11292
VA,4+ tanks,1,0,1724
VA,4+ tanks,2,0,3598
VA,4+ tanks,3,0,7001
VA,4+ tanks,4,0,9595
VA,4+ tanks,5,0,9849
VA,4+ tanks,6,0,9243
VA,4+ tanks,7,0,7658
VA,4+ tanks,8,0,10659
