did_term,make_model_tank,N
0,Unknown-Wall_Other-Fuel_5k-12k_1989,27854
0,Double-Walled_Gasoline-Only_25k-Plus_1995,92
0,Single-Walled_Gasoline-Only_1k-5k_1993,28258
0,Single-Walled_Other-Fuel_5k-12k_1991,16069
0,Single-Walled_Other-Fuel_12k-25k_1991,6519
0,Double-Walled_Other-Fuel_1k-5k_1993,9545
0,Single-Walled_Gasoline-Only_1k-5k_1994,21247
0,Double-Walled_Gasoline-Only_1k-5k_1992,10885
0,Double-Walled_Gasoline-Only_Under-1k_1994,559
0,Double-Walled_Other-Fuel_5k-12k_1989,16904
0,Double-Walled_Other-Fuel_12k-25k_1989,4048
0,Double-Walled_Other-Fuel_12k-25k_1993,5656
0,Double-Walled_Diesel-Only_12k-25k_1993,9363
0,Double-Walled_Diesel-Only_1k-5k_1995,8371
0,Double-Walled_Motor-Fuel-Mixed_25k-Plus_1997,266
0,Double-Walled_Gasoline-Only_1k-5k_1997,8303
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1993,1001
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1994,958
0,Unknown-Wall_Gasoline-Only_5k-12k_1991,55522
0,Unknown-Wall_Gasoline-Only_1k-5k_1991,14015
0,Single-Walled_Diesel-Only_12k-25k_1994,8686
0,Single-Walled_Diesel-Only_12k-25k_1993,7945
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1992,792
0,Single-Walled_Other-Fuel_5k-12k_1992,12857
0,Single-Walled_Other-Fuel_1k-5k_1993,11827
0,Single-Walled_Other-Fuel_5k-12k_1989,40513
0,Single-Walled_Gasoline-Only_Under-1k_1991,2489
0,Single-Walled_Diesel-Only_1k-5k_1996,12733
0,Single-Walled_Other-Fuel_1k-5k_1996,9649
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1989,406
0,Single-Walled_Other-Fuel_Under-1k_1996,2572
0,Double-Walled_Other-Fuel_1k-5k_1997,6531
0,Unknown-Wall_Other-Fuel_1k-5k_1992,21814
0,Unknown-Wall_Gasoline-Only_1k-5k_1992,9821
0,Unknown-Wall_Other-Fuel_1k-5k_1991,26473
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1991,697
0,Double-Walled_Other-Fuel_Under-1k_1994,3220
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1997,1123
0,Double-Walled_Diesel-Only_Under-1k_1995,1215
0,Double-Walled_Diesel-Only_1k-5k_1997,10141
0,Double-Walled_Diesel-Only_Under-1k_1996,1057
0,Double-Walled_Other-Fuel_12k-25k_1990,8204
0,Double-Walled_Other-Fuel_Under-1k_1993,3644
0,Double-Walled_Other-Fuel_5k-12k_1993,14410
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1995,153
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1993,598
0,Double-Walled_Diesel-Only_1k-5k_1996,9757
0,Double-Walled_Gasoline-Only_1k-5k_1996,6559
0,Unknown-Wall_Gasoline-Only_1k-5k_1995,4830
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1993,225
0,Double-Walled_Diesel-Only_Under-1k_1997,1097
0,Double-Walled_Other-Fuel_Under-1k_1997,1881
0,Single-Walled_Other-Fuel_1k-5k_1997,9923
0,Single-Walled_Gasoline-Only_1k-5k_1996,16238
0,Double-Walled_Other-Fuel_12k-25k_1996,4545
0,Single-Walled_Other-Fuel_12k-25k_1990,8188
0,Single-Walled_Other-Fuel_12k-25k_1989,8337
