Group,year,share_any_sw,share_all_sw,share_mixed,se_any_sw,n_facilities,tank_level_sw_prop,ci_lo,ci_hi
Texas,1997,0.86182825052648,0.835036268621792,0.0127915139224709,0.00215502598867251,25642,0.745537108903238,0.857604399588682,0.866052101464278
Control,1998,0.685719105205792,0.649244822753932,0.0172055846784658,0.00167223723181274,77068,0.731691540490731,0.682441520231439,0.688996690180145
Texas,1998,0.859318673395818,0.835526315789474,0.0134733237202596,0.0023340325881659,22192,0.731691540490731,0.854743969523013,0.863893377268624
Control,1999,0.673045054742716,0.637919068594819,0.0177754486353271,0.00176545853629097,70603,0.724308436117902,0.669584756011586,0.676505353473847
Texas,1999,0.856195016464344,0.834127881260137,0.0142527153880179,0.00245999257404668,20347,0.724308436117902,0.851373431019212,0.861016601909475
Control,2000,0.671769479806044,0.636625990653795,0.0183994257504065,0.00179725669759031,68263,0.723689215107104,0.668246856678767,0.675292102933321
Texas,2000,0.855269793242562,0.833787191124559,0.0142713061018659,0.00249850804247595,19830,0.723689215107104,0.850372717479309,0.860166869005815
Control,2001,0.669746270674659,0.634548650232097,0.018748028302312,0.00182285778318887,66567,0.721584685850841,0.666173469419609,0.673319071929709
Texas,2001,0.852745209441661,0.832136769794949,0.0141521615619028,0.00254678148465399,19361,0.721584685850841,0.847753517731739,0.857736901151583
Control,2002,0.667005029299128,0.631707654685553,0.0190252080161184,0.00184827499627453,65019,0.719013004448108,0.66338241030643,0.670627648291826
Texas,2002,0.850346983101128,0.829580971552683,0.0144090692376967,0.00259648514019955,18877,0.719013004448108,0.845257872226337,0.855436093975919
Control,2003,0.663854833886782,0.628633480744716,0.0190270848743331,0.00187402936123548,63541,0.715835953353481,0.66018173633876,0.667527931434803
Texas,2003,0.847757628406993,0.827179932674557,0.0144966880225866,0.00264724526074363,18418,0.715835953353481,0.842569027695936,0.852946229118051
Control,2004,0.660415422604542,0.625151304853053,0.0191249334258647,0.00190250969187355,61961,0.712646962951717,0.656686503608469,0.664144341600614
Texas,2004,0.844594594594595,0.824047408063801,0.0147319450598139,0.00269623947455278,18056,0.712646962951717,0.839309965224471,0.849879223964718
Control,2005,0.657461120200969,0.622043730477465,0.019369659708794,0.00192925996757683,60507,0.709606647591711,0.653679770664518,0.661242469737419
Texas,2005,0.842383956737269,0.821653898152321,0.0148715637674628,0.00273491505554492,17752,0.709606647591711,0.837023523228401,0.847744390246137
Control,2006,0.653298242635198,0.617301978096613,0.0199847185669412,0.00196109323018276,58895,0.705947688832442,0.64945449990404,0.657141985366356
Texas,2006,0.840270999598094,0.819716369064707,0.0150427743009703,0.00277605052630614,17417,0.705947688832442,0.834829940566534,0.845712058629654
Control,2007,0.651210590489462,0.615188991464902,0.0200836091273297,0.00198908059823943,57410,0.703605256441741,0.647311992516912,0.655109188462011
Texas,2007,0.83837001784652,0.818143961927424,0.0150505651397977,0.00283927784177116,16810,0.703605256441741,0.832805033276648,0.843935002416391
Control,2008,0.647067210864955,0.611064573047926,0.0201579125599301,0.00201751163057091,56107,0.699784560320645,0.643112888069036,0.651021533660873
Texas,2008,0.834743956646167,0.814163063995616,0.0155878950252694,0.00289829303457073,16423,0.699784560320645,0.829063302298408,0.840424610993926
Control,2009,0.643512522573466,0.607376735192718,0.0203206800313748,0.00204564903352058,54821,0.696565385701036,0.639503050467766,0.647521994679167
Texas,2009,0.830103118399801,0.809106721331843,0.0161510746676606,0.00295996280992915,16098,0.696565385701036,0.82430159129234,0.835904645507262
Control,2010,0.640096347748152,0.603517813130182,0.0209500336096796,0.00207403360898882,53556,0.693059759600262,0.636031241874533,0.64416145362177
Texas,2010,0.825463315562326,0.804265041888804,0.0167555217060168,0.00302400876665894,15756,0.693059759600262,0.819536258379674,0.831390372744977
Control,2011,0.63708139446182,0.600045770081623,0.0213403005568693,0.00209986532233256,52436,0.689809165123717,0.632965658430048,0.641197130493592
Texas,2011,0.820686540198735,0.799457994579946,0.0169054071493096,0.00308156465344919,15498,0.689809165123717,0.814646673477975,0.826726406919496
Control,2012,0.634006773327105,0.596150103156993,0.0220133130912064,0.00212519654980734,51378,0.685805362835177,0.629841388089483,0.638172158564727
Texas,2012,0.813744758909853,0.791011530398323,0.0184093291404612,0.00315121765704095,15264,0.685805362835177,0.807568372302053,0.819921145517654
Control,2013,0.630348495673573,0.591767881241565,0.022703818369453,0.00215044009328992,50388,0.681429740791269,0.626133633090725,0.634563358256421
Texas,2013,0.807830603276069,0.783526434944733,0.0199094420029298,0.0032152198455632,15018,0.681429740791269,0.801528772378765,0.814132434173373
Control,2014,0.627351049629899,0.58823767342151,0.0232981434291955,0.00217442320950337,49446,0.677314055331572,0.623089180139273,0.631612919120526
Texas,2014,0.801181102362205,0.77626934564214,0.0206353516155308,0.00328835021512639,14732,0.677314055331572,0.794735935940557,0.807626268783853
Control,2015,0.625072141149312,0.585373897271003,0.0238271910297634,0.00219786447611095,48516,0.673649811970459,0.620764326776134,0.629379955522489
Texas,2015,0.795174892852205,0.769113784045348,0.0219825798423891,0.00335554993352148,14466,0.673649811970459,0.788598014982503,0.801751770721907
Control,2016,0.621981997139733,0.581833094977707,0.0243963994279465,0.00222373785326428,47548,0.66931597144061,0.617623470947335,0.62634052333213
Texas,2016,0.788327341932755,0.761401282864594,0.0229787833932473,0.00342969656763259,14187,0.66931597144061,0.781605136660196,0.795049547205315
Control,2017,0.617358231084943,0.576938779895567,0.0246255667533361,0.00225304716777969,46537,0.664281377651767,0.612942258636095,0.621774203533791
Texas,2017,0.780257757937937,0.753185974512204,0.0231838145294838,0.00351362953856058,13889,0.664281377651767,0.773371044042358,0.787144471833515
Control,2018,0.614896503435298,0.573804209881406,0.0251411316791388,0.00227628633419628,45702,0.660441650219265,0.610434982220274,0.619358024650323
Texas,2018,0.772317171568987,0.745030440842074,0.0235458079659649,0.00359156057585845,13633,0.660441650219265,0.765277712840305,0.77935663029767
Control,2019,0.613215917661151,0.572090856661195,0.0251319817221951,0.00229374025070548,45082,0.657327127255027,0.608720186769768,0.617711648552534
Texas,2019,0.764332162343972,0.736901113685627,0.0239180805740339,0.00366940484470968,13379,0.657327127255027,0.757140128848341,0.771524195839603
Control,2020,0.612085201793722,0.57067264573991,0.0252466367713005,0.00230733977700306,44600,0.654631469508031,0.607562815830796,0.616607587756648
Texas,2020,0.756529000911023,0.728742787731552,0.0244457941087155,0.00373961621801233,13172,0.654631469508031,0.749199353123719,0.763858648698328
