panel_id,n_tanks,n_sw,n_dw,n_closed,n_closed_sw,n_closed_dw,any_closed,has_both_types
ID4-340630_ID,1,1,0,0,0,0,0,0
ID4-340631_ID,3,3,0,0,0,0,0,0
ID4-340632_ID,6,6,0,0,0,0,0,0
ID4-420006_ID,5,5,0,5,5,0,1,0
ID4-420036_ID,1,1,0,1,1,0,1,0
ID4-420093_ID,3,3,0,0,0,0,0,0
ID4-420097_ID,3,3,0,3,3,0,1,0
ID4-420177_ID,1,1,0,0,0,0,0,0
ID4-420178_ID,2,2,0,0,0,0,0,0
ID4-420199_ID,3,3,0,0,0,0,0,0
ID4-420608_ID,4,4,0,0,0,0,0,0
ID4-420609_ID,2,2,0,0,0,0,0,0
ID4-420617_ID,4,4,0,0,0,0,0,0
ID4-420668_ID,3,3,0,0,0,0,0,0
ID5-030013_ID,1,1,0,0,0,0,0,0
ID5-030023_ID,2,2,0,2,2,0,1,0
ID5-030032_ID,2,2,0,0,0,0,0,0
ID5-030071_ID,1,1,0,1,1,0,1,0
ID5-030083_ID,1,1,0,1,1,0,1,0
ID5-030110_ID,2,2,0,2,2,0,1,0
ID5-030115_ID,2,2,0,0,0,0,0,0
ID5-030129_ID,3,3,0,0,0,0,0,0
ID5-030131_ID,3,3,0,0,0,0,0,0
ID5-030176_ID,1,1,0,0,0,0,0,0
ID5-030206_ID,3,3,0,3,3,0,1,0
ID5-030228_ID,4,4,0,0,0,0,0,0
ID5-030600_ID,1,1,0,0,0,0,0,0
ID5-030606_ID,4,4,0,0,0,0,0,0
ID5-030609_ID,2,2,0,2,2,0,1,0
ID5-030632_ID,5,5,0,0,0,0,0,0
ID5-030638_ID,3,3,0,3,3,0,1,0
ID5-030645_ID,3,3,0,0,0,0,0,0
ID5-030662_ID,3,3,0,0,0,0,0,0
ID5-030677_ID,1,1,0,1,1,0,1,0
ID5-030721_ID,5,5,0,5,5,0,1,0
ID5-040001_ID,4,4,0,0,0,0,0,0
ID5-040023_ID,2,2,0,0,0,0,0,0
ID5-040035_ID,3,3,0,0,0,0,0,0
ID5-040037_ID,3,3,0,0,0,0,0,0
ID5-060021_ID,4,4,0,0,0,0,0,0
ID5-060047_ID,4,4,0,0,0,0,0,0
ID5-060051_ID,3,3,0,0,0,0,0,0
ID5-060057_ID,1,1,0,1,1,0,1,0
ID5-060088_ID,2,2,0,0,0,0,0,0
ID5-060093_ID,2,2,0,0,0,0,0,0
ID5-060110_ID,2,2,0,0,0,0,0,0
ID5-060137_ID,1,1,0,0,0,0,0,0
ID5-060138_ID,3,3,0,3,3,0,1,0
ID5-060158_ID,3,3,0,0,0,0,0,0
ID5-060179_ID,4,4,0,0,0,0,0,0
ID5-060603_ID,1,1,0,0,0,0,0,0
ID5-060615_ID,3,3,0,0,0,0,0,0
ID5-150010_ID,4,4,0,0,0,0,0,0
ID5-150014_ID,2,2,0,0,0,0,0,0
ID5-150029_ID,4,4,0,0,0,0,0,0
ID5-150032_ID,2,2,0,2,2,0,1,0
ID5-150043_ID,2,2,0,2,2,0,1,0
ID5-210007_ID,6,6,0,0,0,0,0,0
ID5-210024_ID,3,3,0,3,3,0,1,0
ID5-360604_ID,3,3,0,0,0,0,0,0
ID5-390001_ID,2,2,0,0,0,0,0,0
ID5-390004_ID,4,4,0,1,1,0,1,0
ID5-390011_ID,1,1,0,1,1,0,1,0
ID5-390014_ID,3,3,0,0,0,0,0,0
ID5-390015_ID,2,2,0,0,0,0,0,0
ID5-390044_ID,1,1,0,1,1,0,1,0
ID5-390047_ID,1,1,0,0,0,0,0,0
ID5-390613_ID,2,2,0,2,2,0,1,0
ID6-100009_ID,4,4,0,1,1,0,1,0
ID6-100016_ID,3,3,0,0,0,0,0,0
ID6-100030_ID,3,3,0,3,3,0,1,0
ID6-100033_ID,1,1,0,0,0,0,0,0
ID6-100036_ID,7,7,0,0,0,0,0,0
ID6-100045_ID,1,1,0,1,1,0,1,0
ID6-100053_ID,3,3,0,0,0,0,0,0
ID6-100058_ID,4,4,0,0,0,0,0,0
ID6-100059_ID,3,3,0,0,0,0,0,0
ID6-100080_ID,2,2,0,0,0,0,0,0
ID6-100085_ID,2,2,0,2,2,0,1,0
ID6-100106_ID,2,2,0,0,0,0,0,0
ID6-100107_ID,1,1,0,1,1,0,1,0
ID6-100118_ID,3,3,0,3,3,0,1,0
ID6-100119_ID,2,2,0,0,0,0,0,0
ID6-100146_ID,1,1,0,1,1,0,1,0
ID6-100156_ID,4,4,0,0,0,0,0,0
ID6-100170_ID,1,1,0,1,1,0,1,0
ID6-100202_ID,4,4,0,0,0,0,0,0
ID6-100221_ID,1,1,0,0,0,0,0,0
ID6-100244_ID,3,3,0,3,3,0,1,0
ID6-100247_ID,2,2,0,0,0,0,0,0
ID6-100259_ID,1,1,0,1,1,0,1,0
ID6-100608_ID,2,2,0,0,0,0,0,0
ID6-100614_ID,3,3,0,0,0,0,0,0
ID6-100615_ID,3,3,0,0,0,0,0,0
ID6-100618_ID,3,3,0,0,0,0,0,0
ID6-100628_ID,3,3,0,0,0,0,0,0
ID6-100634_ID,3,3,0,3,3,0,1,0
ID6-100638_ID,3,3,0,0,0,0,0,0
ID6-100648_ID,2,2,0,2,2,0,1,0
ID6-100649_ID,3,3,0,0,0,0,0,0
ID6-100651_ID,1,1,0,0,0,0,0,0
ID6-100657_ID,3,3,0,0,0,0,0,0
ID6-100666_ID,2,2,0,2,2,0,1,0
ID6-100670_ID,1,1,0,0,0,0,0,0
ID6-100671_ID,2,2,0,2,2,0,1,0
ID6-100687_ID,2,2,0,2,2,0,1,0
ID6-100721_ID,1,1,0,1,1,0,1,0
ID6-100729_ID,2,2,0,0,0,0,0,0
ID6-120001_ID,3,3,0,0,0,0,0,0
ID6-120038_ID,2,2,0,0,0,0,0,0
