s_idx,A_bin,w_state,rho_state,size_boy,n,P_M,P_E,P_R,P_cl
6,6,1,1,3,64769,0.974540289335948,0.0201330883601723,0.00532662230387994,0.0254597106640522
6,6,1,1,4+,70446,0.97808250291003,0.0151179626948301,0.00679953439513954,0.0219174970899696
7,7,1,1,1,45688,0.9811985641744,0.0184293468744528,0.000372088951146909,0.0188014358255997
7,7,1,1,2,36888,0.979424202992843,0.0190576881370635,0.00151810887009326,0.0205757970071568
7,7,1,1,3,47400,0.974620253164557,0.0201898734177215,0.00518987341772152,0.025379746835443
7,7,1,1,4+,51388,0.980676422511092,0.014886743986923,0.0044368335019849,0.0193235774889079
8,8,1,1,1,137507,0.987055204462318,0.012777531325678,0.000167264212003753,0.0129447955376817
8,8,1,1,2,90253,0.983756772628057,0.0156559892745948,0.000587238097348565,0.0162432273719433
8,8,1,1,3,73061,0.982357208360137,0.0153570304266298,0.00228576121323278,0.0176427916398626
8,8,1,1,4+,78142,0.984412991732999,0.0134242788769164,0.00216272939008472,0.0155870082670011
9,1,2,1,1,14469,0.993157785610616,0.00608196834611929,0.000760246043264911,0.0068422143893842
9,1,2,1,2,27238,0.998458036566561,0.00135839635802922,0.000183567075409355,0.00154196343343858
9,1,2,1,3,21394,0.998971674301206,0.000934841544358231,9.34841544358231e-05,0.00102832569879405
9,1,2,1,4+,12243,0.999183206730376,0.000326717307849383,0.000490075961774075,0.000816793269623458
10,2,2,1,1,19221,0.98824202694969,0.0109255501794912,0.000832422870818376,0.0117579730503096
10,2,2,1,2,26009,0.994194317351686,0.00519051097696951,0.000615171671344535,0.00580568264831405
10,2,2,1,3,21429,0.995426758131504,0.00349993000139997,0.00107331186709599,0.00457324186849596
10,2,2,1,4+,12351,0.997247186462635,0.00202412760100397,0.000728685936361428,0.0027528135373654
11,3,2,1,1,20409,0.981086775442207,0.0176392767896516,0.00127394776814151,0.0189132245577931
11,3,2,1,2,23082,0.989515639892557,0.00905467463824625,0.00142968546919678,0.010484360107443
11,3,2,1,3,20151,0.993102079301275,0.00516103419185152,0.00173688650687311,0.00689792069872463
11,3,2,1,4+,12874,0.991766350784527,0.00442752835171664,0.00380612086375641,0.00823364921547305
12,4,2,1,1,16960,0.976474056603774,0.0215801886792453,0.00194575471698113,0.0235259433962264
12,4,2,1,2,17365,0.985948747480564,0.0119205298013245,0.00213072271811114,0.0140512525194356
12,4,2,1,3,15401,0.987598207908577,0.00883059541588209,0.00357119667554055,0.0124017920914226
12,4,2,1,4+,10007,0.991406015788948,0.00569601279104627,0.002897971420006,0.00859398421105226
13,5,2,1,1,11624,0.972900894700619,0.0260667584308328,0.00103234686854783,0.0270991052993806
13,5,2,1,2,9537,0.981650414176366,0.0163573450770683,0.00199224074656601,0.0183495858236343
13,5,2,1,3,9605,0.984903695991671,0.0106194690265487,0.00447683498178032,0.015096304008329
13,5,2,1,4+,6891,0.987665070381657,0.00754607459004499,0.00478885502829778,0.0123349296183428
14,6,2,1,1,5639,0.959744635573683,0.0375953183188509,0.00266004610746586,0.0402553644263167
14,6,2,1,2,3604,0.975860155382908,0.0208102108768036,0.00332963374028857,0.0241398446170921
14,6,2,1,3,4474,0.979660259275816,0.0134108180599017,0.00692892266428252,0.0203397407241842
14,6,2,1,4+,3577,0.98574224210232,0.00698909700866648,0.00726866088901314,0.0142577578976796
15,7,2,1,1,1076,0.980483271375465,0.0176579925650558,0.00185873605947955,0.0195167286245353
15,7,2,1,2,674,0.989614243323442,0.00593471810089021,0.00445103857566766,0.0103857566765579
15,7,2,1,3,828,0.991545893719807,0.00603864734299517,0.00241545893719807,0.00845410628019324
15,7,2,1,4+,776,0.984536082474227,0.0115979381443299,0.0038659793814433,0.0154639175257732
16,8,2,1,1,998,0.983967935871743,0.0160320641282565,0,0.0160320641282565
16,8,2,1,2,510,0.976470588235294,0.0215686274509804,0.00196078431372549,0.0235294117647059
16,8,2,1,3,457,0.971553610503282,0.0218818380743982,0.00656455142231947,0.0284463894967177
16,8,2,1,4+,652,0.984662576687117,0.0138036809815951,0.00153374233128834,0.0153374233128834
17,1,1,2,1,1445,0.998615916955017,0.0013840830449827,0,0.0013840830449827
17,1,1,2,2,2502,0.998800959232614,0.000799360511590727,0.000399680255795364,0.00119904076738609
17,1,1,2,3,355,1,0,0,0
17,1,1,2,4+,113,1,0,0,0
18,2,1,2,1,3536,0.993778280542987,0.00565610859728507,0.000565610859728507,0.00622171945701357
18,2,1,2,2,6300,0.997142857142857,0.00253968253968254,0.000317460317460317,0.00285714285714286
18,2,1,2,3,1481,0.9966239027684,0.00337609723160027,0,0.00337609723160027
18,2,1,2,4+,470,0.995744680851064,0.00425531914893617,0,0.00425531914893617
19,3,1,2,1,5136,0.991043613707165,0.007398753894081,0.00155763239875389,0.00895638629283489
19,3,1,2,2,9972,0.99187725631769,0.00701965503409547,0.001103088648215,0.00812274368231047
19,3,1,2,3,3804,0.992902208201893,0.00525762355415352,0.00184016824395373,0.00709779179810726
19,3,1,2,4+,1380,0.994202898550725,0.00507246376811594,0.00072463768115942,0.00579710144927536
20,4,1,2,1,5031,0.965016895249453,0.0341880341880342,0.000795070562512423,0.0349831047505466
20,4,1,2,2,10102,0.985349435755296,0.0131657097604435,0.00148485448426054,0.014650564244704
20,4,1,2,3,8635,0.981702374059062,0.0156340474811812,0.0026635784597568,0.018297625940938
20,4,1,2,4+,4443,0.982219221246905,0.0141796083727211,0.00360117038037362,0.0177807787530948
21,5,1,2,1,3993,0.948409717004758,0.0515902829952417,0,0.0515902829952417
21,5,1,2,2,8528,0.973733583489681,0.0242729831144465,0.00199343339587242,0.026266416510319
21,5,1,2,3,15443,0.979667163115975,0.0162533186557016,0.00407951822832351,0.0203328368840251
21,5,1,2,4+,10126,0.97777997234841,0.0159984199091448,0.00622160774244519,0.02222002765159
22,6,1,2,1,2731,0.932991578176492,0.0659099231050897,0.00109849871841816,0.0670084218235079
22,6,1,2,2,6399,0.967026097827786,0.0290670417252696,0.00390686044694484,0.0329739021722144
