size_boy,A_bin,rho_state,wall_comp,n,P_E,P_R,P_cl
2,5,2,mixed,132,0.0151515151515152,0,0.0151515151515152
2,6,1,all-SW,42134,0.021099349693834,0.00251578297811744,0.0236151326719514
2,6,1,mixed,919,0.0130576713819369,0.00544069640914037,0.0184983677910773
2,6,2,all-SW,6154,0.0290867728306792,0.00373740656483588,0.0328241793955151
2,6,2,mixed,98,0.0102040816326531,0.0204081632653061,0.0306122448979592
2,7,1,all-SW,35103,0.0172919693473492,0.00145286727630117,0.0187448366236504
2,7,1,mixed,398,0.0100502512562814,0.0050251256281407,0.0150753768844221
2,7,2,all-SW,5124,0.0439110070257611,0.00507416081186573,0.0489851678376269
2,7,2,mixed,66,0.0151515151515152,0,0.0151515151515152
2,8,1,all-SW,84890,0.0132171044881612,0.000600777476734598,0.0138178819648957
2,8,1,mixed,300,0.0166666666666667,0,0.0166666666666667
2,8,2,all-SW,5728,0.0431215083798883,0.00558659217877095,0.0487081005586592
2,8,2,mixed,47,0.0638297872340426,0,0.0638297872340426
3,1,1,all-SW,14437,0.00173166170256979,0.000554131744822332,0.00228579344739212
3,1,1,mixed,432,0.00462962962962963,0,0.00462962962962963
3,1,2,all-SW,340,0,0,0
3,1,2,mixed,15,0,0,0
3,2,1,all-SW,28121,0.00654315280395434,0.000853454713559262,0.0073966075175136
3,2,1,mixed,1304,0.00460122699386503,0.00153374233128834,0.00613496932515337
3,2,2,all-SW,1366,0.00366032210834553,0,0.00366032210834553
3,2,2,mixed,113,0,0,0
3,3,1,all-SW,50793,0.0139586163447719,0.0022247160041738,0.0161833323489457
3,3,1,mixed,2309,0.00606323083585968,0.00563014291901256,0.0116933737548722
3,3,2,all-SW,3511,0.00541156365707776,0.00199373397892338,0.00740529763600114
3,3,2,mixed,288,0.00347222222222222,0,0.00347222222222222
3,4,1,all-SW,65098,0.0188638667854619,0.00348705029340379,0.0223509170788657
3,4,1,mixed,2419,0.00909466721785862,0.00537412153782555,0.0144687887556842
3,4,2,all-SW,8186,0.0152699731248473,0.00256535548497435,0.0178353286098216
3,4,2,mixed,349,0.00573065902578797,0.00573065902578797,0.0114613180515759
3,5,1,all-SW,67417,0.0193868015485708,0.00397525846596556,0.0233620600145364
3,5,1,mixed,2003,0.00998502246630055,0.00698951572641038,0.0169745381927109
3,5,2,all-SW,14945,0.0155235864837738,0.00408163265306122,0.0196052191368351
3,5,2,mixed,300,0.02,0.00666666666666667,0.0266666666666667
3,6,1,all-SW,60294,0.0197532092745547,0.00534049822536239,0.0250937074999171
3,6,1,mixed,1279,0.0164190774042221,0.00625488663017983,0.0226739640344019
3,6,2,all-SW,16752,0.0173710601719198,0.00787965616045845,0.0252507163323782
3,6,2,mixed,215,0.0186046511627907,0.013953488372093,0.0325581395348837
3,7,1,all-SW,44719,0.0192982848453677,0.00521031328965317,0.0245085981350209
3,7,1,mixed,612,0.00816993464052288,0,0.00816993464052288
3,7,2,all-SW,13513,0.0208687930141345,0.0107304077554947,0.0315992007696292
3,7,2,mixed,108,0.00925925925925926,0.00925925925925926,0.0185185185185185
3,8,1,all-SW,68988,0.0133356525772598,0.00226126282831797,0.0155969154055778
3,8,1,mixed,411,0.0170316301703163,0.0072992700729927,0.024330900243309
3,8,2,all-SW,11338,0.0327218204268831,0.0111130710883754,0.0438348915152584
3,8,2,mixed,56,0.0178571428571429,0.0178571428571429,0.0357142857142857
4+,1,1,all-SW,9342,0.00181973881395847,0.000856347677156926,0.00267608649111539
4+,1,1,mixed,788,0,0.00253807106598985,0.00253807106598985
4+,1,2,all-SW,80,0,0,0
4+,1,2,mixed,27,0,0,0
4+,2,1,all-SW,21852,0.00462200256269449,0.00178473366282263,0.00640673622551712
4+,2,1,mixed,2404,0.00291181364392679,0.00748752079866889,0.0103993344425957
4+,2,2,all-SW,368,0.00543478260869565,0,0.00543478260869565
4+,2,2,mixed,97,0,0,0
4+,3,1,all-SW,48869,0.010149583580593,0.00364239088174507,0.0137919744623381
4+,3,1,mixed,5237,0.00458277639870155,0.0085927057475654,0.0131754821462669
4+,3,2,all-SW,1141,0.00613496932515337,0.000876424189307625,0.007011393514461
4+,3,2,mixed,232,0,0,0
4+,4,1,all-SW,66506,0.0151414909932938,0.00556340781282892,0.0207048988061228
4+,4,1,mixed,6470,0.00587326120556414,0.00680061823802164,0.0126738794435858
4+,4,2,all-SW,3881,0.0133986086060294,0.00360731770162329,0.0170059263076527
4+,4,2,mixed,487,0.00821355236139631,0.00410677618069815,0.0123203285420945
4+,5,1,all-SW,68705,0.015078960774325,0.00532712320791791,0.0204060839822429
4+,5,1,mixed,6303,0.00507694748532445,0.00856734888148501,0.0136442963668095
4+,5,2,all-SW,9348,0.016260162601626,0.00599058622165169,0.0222507488232777
4+,5,2,mixed,627,0.00637958532695375,0.00956937799043062,0.0159489633173844
4+,6,1,all-SW,61862,0.0150172965633184,0.00627202482945912,0.0212893213927775
4+,6,1,mixed,4959,0.00786448880822747,0.0108892921960073,0.0187537810042347
4+,6,2,all-SW,10483,0.0153581989888391,0.0102070018124583,0.0255652008012973
4+,6,2,mixed,513,0.0155945419103314,0.00584795321637427,0.0214424951267057
4+,7,1,all-SW,45751,0.0135734738038513,0.00393434023300037,0.0175078140368517
4+,7,1,mixed,3017,0.0149154789526019,0.00662910175671197,0.0215445807093139
4+,7,2,all-SW,8280,0.0239130434782609,0.0113526570048309,0.0352657004830918
4+,7,2,mixed,257,0.0233463035019455,0,0.0233463035019455
4+,8,1,all-SW,70821,0.0114090453396591,0.00189209415286426,0.0133011394925234
4+,8,1,mixed,2512,0.0123407643312102,0.00756369426751592,0.0199044585987261
4+,8,2,all-SW,5883,0.039095699473058,0.0103688594254632,0.0494645588985212
4+,8,2,mixed,152,0.0263157894736842,0.0131578947368421,0.0394736842105263
