make_model_tank,n_tx,n_ctl,n_total,has_both
Double-Walled_Diesel-Only_5k-12k_1992,22,550,572,1
Unknown-Wall_Diesel-Only_1k-5k_1990,1,561,562,1
Single-Walled_Diesel-Only_1k-5k_1996,16,545,561,1
Unknown-Wall_Other-Fuel_5k-12k_1994,2,552,554,1
Single-Walled_Other-Fuel_5k-12k_1994,163,383,546,1
Single-Walled_Diesel-Only_12k-25k_1989,35,506,541,1
Double-Walled_Other-Fuel_5k-12k_1995,44,496,540,1
Double-Walled_Diesel-Only_12k-25k_1995,37,497,534,1
Double-Walled_Diesel-Only_1k-5k_1990,15,519,534,1
Unknown-Wall_Other-Fuel_5k-12k_1997,0,532,532,0
Double-Walled_Diesel-Only_12k-25k_1996,48,482,530,1
Double-Walled_Diesel-Only_5k-12k_1993,20,501,521,1
Unknown-Wall_Gasoline-Only_1k-5k_1991,1,518,519,1
Single-Walled_Other-Fuel_Under-1k_1990,14,504,518,1
Single-Walled_Other-Fuel_5k-12k_1995,141,373,514,1
Double-Walled_Other-Fuel_1k-5k_1989,31,478,509,1
Single-Walled_Other-Fuel_1k-5k_1994,46,462,508,1
Double-Walled_Diesel-Only_12k-25k_1997,50,457,507,1
Double-Walled_Other-Fuel_5k-12k_1996,50,456,506,1
Unknown-Wall_Other-Fuel_5k-12k_1992,0,505,505,0
Single-Walled_Other-Fuel_5k-12k_1993,146,358,504,1
Double-Walled_Other-Fuel_5k-12k_1994,38,465,503,1
Single-Walled_Other-Fuel_1k-5k_1993,37,464,501,1
Double-Walled_Diesel-Only_1k-5k_1992,12,484,496,1
Double-Walled_Gasoline-Only_1k-5k_1991,14,479,493,1
Double-Walled_Diesel-Only_1k-5k_1991,14,471,485,1
Single-Walled_Other-Fuel_1k-5k_1995,33,447,480,1
Single-Walled_Diesel-Only_12k-25k_1997,41,437,478,1
Double-Walled_Diesel-Only_1k-5k_1993,13,461,474,1
Unknown-Wall_Other-Fuel_Under-1k_1989,4,468,472,1
Single-Walled_Diesel-Only_12k-25k_1991,44,425,469,1
Single-Walled_Other-Fuel_1k-5k_1997,22,447,469,1
Double-Walled_Diesel-Only_12k-25k_1991,19,445,464,1
Double-Walled_Other-Fuel_1k-5k_1992,17,447,464,1
Single-Walled_Other-Fuel_5k-12k_1997,80,379,459,1
Unknown-Wall_Other-Fuel_5k-12k_1995,0,458,458,0
Double-Walled_Diesel-Only_1k-5k_1997,6,444,450,1
Double-Walled_Diesel-Only_12k-25k_1990,29,420,449,1
Single-Walled_Other-Fuel_1k-5k_1996,20,427,447,1
Unknown-Wall_Diesel-Only_5k-12k_1991,1,439,440,1
Double-Walled_Other-Fuel_5k-12k_1997,18,421,439,1
Single-Walled_Other-Fuel_5k-12k_1996,77,360,437,1
Double-Walled_Diesel-Only_12k-25k_1992,36,395,431,1
Double-Walled_Diesel-Only_12k-25k_1994,28,401,429,1
Double-Walled_Gasoline-Only_1k-5k_1992,8,418,426,1
Unknown-Wall_Other-Fuel_5k-12k_1996,2,424,426,1
Double-Walled_Gasoline-Only_1k-5k_1989,13,411,424,1
Unknown-Wall_Other-Fuel_5k-12k_1993,0,416,416,0
Double-Walled_Other-Fuel_1k-5k_1993,24,390,414,1
Double-Walled_Diesel-Only_1k-5k_1996,9,402,411,1
Double-Walled_Diesel-Only_1k-5k_1994,6,403,409,1
Double-Walled_Diesel-Only_12k-25k_1989,16,392,408,1
Double-Walled_Other-Fuel_12k-25k_1991,41,364,405,1
Double-Walled_Gasoline-Only_1k-5k_1993,10,390,400,1
Unknown-Wall_Other-Fuel_Under-1k_1990,0,393,393,0
