rep,kappa_est,gamma_price_est,gamma_risk_est,kappa_true,gamma_price_true,gamma_risk_true,converged,iters,cond_num
87,22.2825952838839,-0.859130150909125,0.813306446109316,22,-1,0.6,TRUE,95,2400.86721679176
88,22.2610521274613,-0.982812583978991,0.578377002805646,22,-1,0.6,TRUE,738,2504.6754586441
89,21.1642496345823,-1.04650270152403,0.729785573163579,22,-1,0.6,TRUE,3058,2257.4420033002
90,23.2087027470442,-1.1614256279934,0.059925610710699,22,-1,0.6,TRUE,445,2329.21481316622
91,20.4974330627744,-1.04688410512887,0.84232194394225,22,-1,0.6,TRUE,1438,2443.38204215813
92,21.4560113412931,-1.08857118904655,0.588589696402193,22,-1,0.6,TRUE,1192,2451.30230307464
93,23.0245045958712,-1.1289054884039,0.124040030244056,22,-1,0.6,TRUE,203,2446.38760878797
94,22.9084573874665,-0.974685869884403,0.419681714231501,22,-1,0.6,TRUE,78,2383.9652583074
95,22.6327047909015,-0.900538383721093,0.610277453350782,22,-1,0.6,TRUE,1358,2373.90783053881
96,21.2007511205105,-1.21501639179313,0.523764577514313,22,-1,0.6,TRUE,285,2410.93221028552
97,21.175311709845,-1.10639247009295,0.641316136556496,22,-1,0.6,TRUE,35,2430.49823038083
98,22.5695623753118,-0.939224209178966,0.577198930666276,22,-1,0.6,TRUE,621,2372.05749265883
99,22.7948818219426,-1.0734092098463,0.303569007679194,22,-1,0.6,TRUE,205,2466.64423731395
100,21.917343800432,-0.983318061431289,0.619000477862539,22,-1,0.6,TRUE,1875,2085.49554766054
