panel_id,is_gas
ID1-280715_ID,1
ID1-280716_ID,1
ID1-280717_ID,0
ID1-280718_ID,1
ID1-280719_ID,1
ID1-280720_ID,1
ID1-280721_ID,1
ID1-280722_ID,1
ID1-280723_ID,1
ID1-280724_ID,1
ID1-280725_ID,1
ID1-280726_ID,1
ID1-280727_ID,0
ID1-280728_ID,0
ID1-280729_ID,1
ID1-280731_ID,1
ID1-280732_ID,1
ID1-280733_ID,0
ID1-280734_ID,1
ID1-280735_ID,0
ID1-280736_ID,1
ID1-280738_ID,1
ID1-280739_ID,1
ID1-280740_ID,1
ID1-280741_ID,1
ID1-280742_ID,0
ID1-280743_ID,1
ID1-280744_ID,1
ID1-280746_ID,1
ID1-280747_ID,1
ID1-280748_ID,1
ID1-280749_ID,1
ID1-280750_ID,1
ID1-400001_ID,0
ID1-400002_ID,1
ID1-400003_ID,1
ID1-400004_ID,1
ID1-400005_ID,1
ID1-400006_ID,0
ID1-400008_ID,1
ID1-400009_ID,1
ID1-400010_ID,1
ID1-400011_ID,1
ID1-400012_ID,1
ID1-400014_ID,1
ID1-400015_ID,1
ID1-400016_ID,0
ID1-400017_ID,0
ID1-400018_ID,1
ID1-400019_ID,1
ID1-400020_ID,1
ID1-400021_ID,1
ID1-400022_ID,1
ID1-400023_ID,1
ID1-400024_ID,1
ID1-400025_ID,0
ID1-400026_ID,1
ID1-400027_ID,1
ID1-400028_ID,1
ID1-400029_ID,1
ID1-400032_ID,0
ID1-400033_ID,1
ID1-400034_ID,1
ID1-400035_ID,1
ID1-400036_ID,1
ID1-400037_ID,1
ID1-400038_ID,1
ID1-400039_ID,1
ID1-400040_ID,1
ID1-400041_ID,0
ID1-400042_ID,1
ID1-400043_ID,1
ID1-400044_ID,1
ID1-400045_ID,1
ID1-400046_ID,1
ID1-400047_ID,1
ID1-400048_ID,1
ID1-400049_ID,1
ID1-400050_ID,1
ID1-400051_ID,1
ID1-400053_ID,1
ID1-400054_ID,1
ID1-400055_ID,0
ID1-400056_ID,0
ID1-400057_ID,1
ID1-400058_ID,1
ID1-400059_ID,1
ID1-400060_ID,1
ID1-400061_ID,1
ID1-400062_ID,1
ID1-400063_ID,1
ID1-400064_ID,1
ID1-400065_ID,1
ID1-400066_ID,1
ID1-400068_ID,1
ID1-400600_ID,1
ID1-400601_ID,1
ID1-400602_ID,1
ID1-400603_ID,1
ID1-400604_ID,1
ID1-400605_ID,1
ID1-400606_ID,0
ID1-400607_ID,1
ID1-400608_ID,1
ID1-400609_ID,1
ID1-400610_ID,1
ID1-400611_ID,1
ID1-400612_ID,1
ID1-400613_ID,1
ID1-400614_ID,1
ID1-400615_ID,0
ID1-400616_ID,1
ID1-400617_ID,1
ID1-400618_ID,1
ID1-400619_ID,1
ID1-400620_ID,1
ID1-400622_ID,1
ID1-400623_ID,1
ID1-400624_ID,0
ID1-400625_ID,1
ID1-400626_ID,1
ID1-400627_ID,1
ID1-400628_ID,1
ID1-400629_ID,1
ID1-400630_ID,1
